Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,2,0,0
7 days,1,0,0
8 days,1,0,0
9 days,0,0,0
10 days,3,0,0
11 days,2,0,0
12 days,3,0,0
13 days,1,0,0
14 days,1,0,3
15 days,2,0,2
16 days,1,0,2
17 days,1,0,0
18 days,0,0,0
19 days,1,0,0
20 days,4,0,0
21 days,8,0,0
22 days,8,0,1
23 days,5,0,1
24 days,0,0,1
25 days,1,0,0
26 days,1,0,1
27 days,1,0,1
28 days,3,0,1
29 days,3,0,0
30 days,3,0,1
31 days,1,0,1
32 days,0,0,1
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,0,0,0
37 days,1,0,0
38 days,1,0,1
39 days,1,0,1
40 days,0,0,2
41 days,0,0,0
42 days,0,0,1
43 days,0,0,0
44 days,0,0,0
45 days,0,0,0
46 days,0,0,0
47 days,0,0,1
48 days,0,0,1
49 days,0,0,1
