Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,2.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,2.0,0.0,0.0
16 days,4.0,0.0,1.0
17 days,5.0,0.0,0.0
18 days,8.0,0.0,0.0
19 days,2.0,0.0,0.0
20 days,9.0,0.0,0.0
21 days,13.0,0.0,0.0
22 days,34.0,1.0,0.0
23 days,60.0,0.0,0.0
24 days,36.0,0.0,0.0
25 days,30.0,1.0,0.0
26 days,65.0,2.0,0.0
27 days,25.0,0.0,0.0
28 days,59.0,1.0,0.0
29 days,36.0,2.0,0.0
30 days,66.0,0.0,0.0
31 days,31.0,0.0,6.0
32 days,46.0,1.0,0.0
33 days,44.0,0.0,0.0
34 days,68.0,1.0,0.0
35 days,47.0,0.0,0.0
36 days,75.0,2.0,0.0
37 days,40.0,2.0,0.0
38 days,32.0,2.0,1.0
39 days,37.0,0.0,0.0
40 days,32.0,0.0,0.0
41 days,43.0,1.0,0.0
42 days,44.0,6.0,46.0
43 days,27.0,1.0,0.0
44 days,27.0,0.0,43.0
45 days,9.0,1.0,4.0
46 days,8.0,5.0,0.0
47 days,21.0,1.0,37.0
48 days,37.0,2.0,40.0
49 days,21.0,1.0,32.0
50 days,90.0,0.0,18.0
51 days,59.0,2.0,14.0
52 days,28.0,2.0,0.0
53 days,24.0,1.0,56.0
54 days,20.0,0.0,59.0
