Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,1,0,0
12 days,1,0,0
13 days,2,0,0
14 days,2,0,0
15 days,3,0,0
16 days,4,0,0
17 days,6,0,0
18 days,5,0,0
19 days,6,0,0
20 days,8,0,0
21 days,19,0,0
22 days,36,0,0
23 days,43,0,0
24 days,42,0,0
25 days,44,1,0
26 days,40,1,0
27 days,50,1,0
28 days,40,1,0
29 days,54,1,0
30 days,44,1,2
31 days,48,0,2
32 days,40,0,2
33 days,53,1,0
34 days,53,0,0
35 days,63,1,0
36 days,54,1,0
37 days,49,2,0
38 days,36,1,0
39 days,34,1,0
40 days,37,0,0
41 days,40,2,15
42 days,38,3,15
43 days,33,2,30
44 days,21,1,16
45 days,15,2,16
46 days,13,2,14
47 days,22,3,26
48 days,26,1,36
49 days,49,1,30
50 days,57,1,21
51 days,59,1,11
52 days,35,2,23
53 days,15,1,38
54 days,6,1,52
55 days,0,1,44
56 days,0,1,34
57 days,0,0,23
58 days,0,0,15
59 days,0,1,25
60 days,10,1,32
61 days,14,1,38
62 days,18,0,19
63 days,10,0,23
64 days,8,0,15
65 days,7,0,15
66 days,6,0,15
67 days,6,1,28
68 days,5,1,34
69 days,4,1,29
70 days,5,0,37
71 days,15,0,30
72 days,16,0,23
73 days,16,0,7
74 days,9,1,27
