Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,3,0,0
3 days,5,0,0
4 days,5,0,0
5 days,4,0,0
6 days,3,0,0
7 days,2,0,0
8 days,5,0,0
9 days,6,0,0
10 days,10,0,0
11 days,6,0,0
12 days,5,0,0
13 days,4,0,0
14 days,4,0,0
15 days,4,0,1
16 days,4,0,1
17 days,6,0,2
18 days,7,0,3
19 days,4,0,3
20 days,2,0,1
21 days,3,0,0
22 days,4,0,3
23 days,4,0,3
24 days,2,0,4
25 days,1,0,3
26 days,2,0,4
27 days,3,0,3
28 days,3,0,2
29 days,3,0,2
30 days,1,0,3
31 days,0,0,3
32 days,0,0,4
33 days,0,0,6
34 days,0,0,6
35 days,1,0,3
36 days,1,0,4
37 days,2,0,5
38 days,2,0,7
39 days,1,0,6
40 days,0,0,6
41 days,1,0,4
42 days,2,0,2
43 days,7,0,2
44 days,6,0,2
45 days,5,0,1
46 days,3,0,1
47 days,12,0,1
48 days,12,0,0
49 days,9,0,0
50 days,0,0,0
51 days,0,0,0
52 days,0,0,0
53 days,9,0,2
