Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,0,0,0
8 days,1,0,0
9 days,2,0,0
10 days,2,0,0
11 days,1,0,0
12 days,1,0,0
13 days,0,0,0
14 days,0,0,1
15 days,0,0,1
16 days,0,0,1
17 days,0,0,0
18 days,0,0,0
19 days,2,0,0
20 days,5,0,0
21 days,5,0,0
22 days,3,0,0
23 days,0,0,0
24 days,1,0,0
25 days,1,0,0
26 days,1,0,1
27 days,0,0,1
28 days,0,0,1
29 days,1,0,1
30 days,1,0,1
31 days,1,0,0
32 days,1,0,0
33 days,1,0,0
34 days,1,0,2
35 days,1,0,2
36 days,4,0,2
37 days,4,0,0
38 days,5,0,3
39 days,0,0,3
40 days,2,0,3
