Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,2.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,1.0
14 days,4.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,2.0,0.0,0.0
17 days,0.0,0.0,2.0
18 days,0.0,0.0,0.0
19 days,1.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,3.0,0.0,4.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,6.0
25 days,0.0,0.0,2.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,3.0
31 days,0.0,0.0,0.0
32 days,0.0,0.0,0.0
33 days,1.0,0.0,0.0
34 days,0.0,0.0,0.0
35 days,2.0,0.0,0.0
36 days,4.0,0.0,0.0
37 days,0.0,0.0,0.0
38 days,7.0,0.0,4.0
39 days,14.0,0.0,0.0
40 days,0.0,0.0,0.0
41 days,33.0,0.0,0.0
42 days,10.0,0.0,1.0
43 days,6.0,0.0,1.0
44 days,18.0,0.0,0.0
45 days,12.0,0.0,0.0
46 days,20.0,0.0,2.0
47 days,0.0,0.0,0.0
48 days,48.0,0.0,0.0
49 days,41.0,0.0,9.0
50 days,190.0,0.0,7.0
51 days,138.0,0.0,0.0
52 days,107.0,2.0,7.0
53 days,117.0,0.0,11.0
54 days,110.0,0.0,15.0
55 days,130.0,1.0,12.0
56 days,153.0,1.0,27.0
57 days,123.0,6.0,25.0
58 days,212.0,4.0,0.0
59 days,106.0,2.0,44.0
60 days,172.0,4.0,16.0
61 days,235.0,3.0,16.0
62 days,130.0,3.0,44.0
63 days,159.0,1.0,61.0
64 days,150.0,8.0,68.0
65 days,156.0,2.0,91.0
66 days,140.0,6.0,58.0
67 days,142.0,2.0,108.0
68 days,208.0,5.0,122.0
69 days,217.0,3.0,60.0
70 days,150.0,4.0,88.0
71 days,179.0,4.0,90.0
72 days,131.0,1.0,236.0
73 days,170.0,1.0,80.0
74 days,156.0,2.0,166.0
75 days,109.0,2.0,121.0
76 days,118.0,3.0,222.0
77 days,184.0,3.0,165.0
78 days,153.0,3.0,113.0
79 days,134.0,1.0,168.0
80 days,170.0,5.0,202.0
81 days,85.0,1.0,169.0
82 days,110.0,1.0,119.0
83 days,69.0,2.0,201.0
84 days,54.0,2.0,135.0
85 days,84.0,1.0,95.0
86 days,36.0,0.0,98.0
87 days,57.0,3.0,54.0
88 days,50.0,1.0,103.0
89 days,71.0,2.0,90.0
90 days,88.0,1.0,121.0
91 days,51.0,2.0,99.0
92 days,38.0,0.0,100.0
93 days,40.0,1.0,95.0
94 days,31.0,1.0,75.0
95 days,94.0,0.0,55.0
96 days,57.0,2.0,84.0
97 days,69.0,1.0,39.0
98 days,105.0,0.0,116.0
99 days,122.0,2.0,87.0
100 days,55.0,0.0,71.0
101 days,30.0,1.0,83.0
102 days,45.0,1.0,135.0
103 days,39.0,0.0,74.0
104 days,68.0,0.0,88.0
105 days,54.0,1.0,65.0
106 days,67.0,0.0,96.0
107 days,70.0,1.0,88.0
108 days,16.0,0.0,110.0
109 days,37.0,2.0,58.0
