Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,1,0,0
14 days,1,0,0
15 days,1,0,0
16 days,2,0,0
17 days,1,0,1
18 days,1,0,1
19 days,0,0,1
20 days,0,0,0
21 days,1,0,1
22 days,1,0,1
23 days,1,0,1
24 days,0,0,2
25 days,0,0,3
26 days,0,0,3
27 days,0,0,1
28 days,0,0,0
29 days,0,0,0
30 days,0,0,1
31 days,0,0,1
32 days,0,0,1
33 days,0,0,0
34 days,0,0,0
35 days,1,0,0
36 days,2,0,0
37 days,2,0,0
38 days,4,0,1
39 days,7,0,1
40 days,7,0,1
41 days,16,0,0
42 days,14,0,0
43 days,16,0,1
44 days,11,0,1
45 days,12,0,0
46 days,17,0,1
47 days,11,0,1
48 days,23,0,1
49 days,30,0,3
50 days,93,0,5
51 days,123,0,5
52 days,145,1,5
53 days,121,1,6
54 days,111,1,11
55 days,119,0,13
56 days,131,1,18
57 days,135,3,21
58 days,163,4,17
59 days,147,4,23
60 days,163,3,20
61 days,171,3,25
62 days,179,3,25
63 days,175,2,40
64 days,146,4,58
65 days,155,4,73
66 days,149,5,72
67 days,146,3,86
68 days,163,4,96
69 days,189,3,97
70 days,192,4,90
71 days,182,4,79
72 days,153,3,138
73 days,160,2,135
74 days,152,1,161
75 days,145,2,122
76 days,128,2,170
77 days,137,3,169
78 days,152,3,167
79 days,157,2,149
80 days,152,3,161
81 days,130,2,180
82 days,122,2,163
83 days,88,1,163
84 days,78,2,152
85 days,69,2,144
86 days,58,1,109
87 days,59,1,82
88 days,48,1,85
