Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,7.0,0.0,0.0
3 days,7.0,0.0,0.0
4 days,0.0,1.0,0.0
5 days,7.0,1.0,0.0
6 days,3.0,0.0,0.0
7 days,3.0,1.0,0.0
8 days,5.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,2.0,0.0,1.0
11 days,4.0,2.0,0.0
12 days,2.0,0.0,8.0
13 days,9.0,0.0,3.0
14 days,3.0,2.0,4.0
15 days,15.0,0.0,6.0
16 days,13.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,18.0,2.0,0.0
19 days,18.0,1.0,4.0
20 days,21.0,3.0,8.0
21 days,4.0,0.0,0.0
22 days,23.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,45.0,0.0,7.0
25 days,8.0,1.0,1.0
26 days,22.0,0.0,14.0
27 days,12.0,0.0,1.0
28 days,35.0,3.0,16.0
29 days,16.0,4.0,4.0
30 days,16.0,0.0,10.0
31 days,45.0,0.0,4.0
32 days,19.0,2.0,21.0
33 days,19.0,0.0,1.0
34 days,16.0,1.0,9.0
35 days,58.0,1.0,7.0
36 days,8.0,1.0,6.0
37 days,18.0,0.0,61.0
38 days,36.0,0.0,10.0
39 days,19.0,1.0,7.0
40 days,17.0,2.0,10.0
41 days,32.0,3.0,5.0
42 days,19.0,0.0,33.0
43 days,19.0,0.0,10.0
44 days,18.0,3.0,14.0
45 days,24.0,2.0,13.0
46 days,12.0,1.0,53.0
47 days,8.0,1.0,26.0
48 days,18.0,1.0,21.0
49 days,28.0,4.0,14.0
