Dates,Infected,Dead,Recovered
2 days,4,0,0
3 days,5,0,0
4 days,5,0,0
5 days,5,1,0
6 days,3,1,0
7 days,4,1,0
8 days,4,0,0
9 days,4,0,0
10 days,3,0,0
11 days,3,1,0
12 days,3,1,3
13 days,5,1,4
14 days,5,1,5
15 days,9,1,4
16 days,10,1,3
17 days,9,0,2
18 days,10,1,0
19 days,12,1,1
20 days,19,2,4
21 days,14,1,4
22 days,16,1,3
23 days,9,0,0
24 days,23,0,2
25 days,18,0,3
26 days,25,0,7
27 days,14,0,5
28 days,23,1,10
29 days,21,2,7
30 days,22,2,10
31 days,26,1,6
32 days,27,1,12
33 days,28,1,9
34 days,18,1,10
35 days,31,1,6
36 days,27,1,7
37 days,28,1,25
38 days,21,0,26
39 days,24,0,26
40 days,24,1,9
41 days,23,2,7
