Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,2,0,0
6 days,4,0,0
7 days,5,0,0
8 days,6,0,0
9 days,7,0,0
10 days,6,0,0
11 days,8,0,0
12 days,9,0,0
13 days,12,0,0
14 days,12,0,0
15 days,14,0,0
16 days,12,0,0
17 days,13,0,0
18 days,9,0,0
19 days,10,0,0
20 days,7,0,0
21 days,6,0,0
22 days,6,0,0
23 days,7,0,0
24 days,12,0,0
25 days,13,0,0
26 days,11,0,0
27 days,8,0,0
28 days,10,0,1
29 days,13,0,1
30 days,27,0,1
31 days,24,0,4
32 days,32,1,4
33 days,19,1,4
34 days,24,1,0
35 days,14,0,9
36 days,11,0,9
37 days,8,0,9
38 days,7,0,0
39 days,9,0,13
40 days,10,0,16
41 days,9,0,18
42 days,5,0,12
43 days,3,0,12
44 days,6,0,17
45 days,6,0,16
46 days,5,0,26
47 days,1,0,24
48 days,1,0,28
49 days,1,0,26
50 days,1,0,21
51 days,3,0,18
52 days,5,0,19
53 days,5,0,22
54 days,3,0,25
55 days,2,0,13
56 days,4,0,14
57 days,4,0,7
58 days,5,0,8
59 days,2,0,5
60 days,2,0,5
61 days,2,0,5
62 days,2,0,7
63 days,3,0,7
64 days,5,0,5
65 days,5,0,2
66 days,4,0,1
