Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,9.0,0.0,0.0
3 days,2.0,1.0,0.0
4 days,14.0,1.0,0.0
5 days,8.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,6.0,0.0,0.0
8 days,33.0,0.0,0.0
9 days,13.0,0.0,0.0
10 days,8.0,0.0,0.0
11 days,5.0,1.0,0.0
12 days,21.0,0.0,0.0
13 days,15.0,2.0,0.0
14 days,18.0,1.0,0.0
15 days,8.0,1.0,0.0
16 days,17.0,0.0,0.0
17 days,10.0,0.0,7.0
18 days,31.0,0.0,0.0
19 days,17.0,0.0,0.0
20 days,24.0,0.0,1.0
21 days,5.0,0.0,11.0
22 days,41.0,0.0,4.0
23 days,4.0,2.0,0.0
24 days,1.0,0.0,5.0
25 days,5.0,0.0,14.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,9.0
28 days,0.0,0.0,14.0
29 days,0.0,0.0,16.0
30 days,0.0,0.0,27.0
31 days,1.0,0.0,72.0
32 days,3.0,0.0,28.0
33 days,0.0,0.0,16.0
34 days,0.0,0.0,19.0
35 days,1.0,0.0,18.0
36 days,2.0,0.0,5.0
37 days,0.0,0.0,19.0
38 days,0.0,0.0,10.0
39 days,1.0,0.0,4.0
40 days,0.0,1.0,3.0
41 days,0.0,0.0,1.0
42 days,0.0,0.0,3.0
43 days,0.0,0.0,4.0
44 days,0.0,0.0,2.0
45 days,0.0,0.0,2.0
46 days,0.0,0.0,1.0
47 days,0.0,0.0,1.0
48 days,0.0,0.0,3.0
49 days,0.0,0.0,1.0
50 days,0.0,0.0,0.0
51 days,0.0,0.0,0.0
52 days,0.0,0.0,0.0
53 days,0.0,0.0,0.0
54 days,0.0,0.0,2.0
55 days,0.0,0.0,0.0
56 days,0.0,0.0,0.0
