Dates,Infected,Dead,Recovered
2 days,4,0,0
3 days,4,0,0
4 days,8,1,0
5 days,8,1,0
6 days,9,0,0
7 days,7,0,0
8 days,15,0,0
9 days,17,0,0
10 days,18,0,0
11 days,9,0,0
12 days,11,0,0
13 days,14,1,0
14 days,18,1,0
15 days,14,1,0
16 days,14,1,0
17 days,12,0,2
18 days,19,0,2
19 days,19,0,2
20 days,24,0,0
21 days,15,0,4
22 days,23,0,5
23 days,17,1,5
24 days,15,1,3
25 days,3,1,6
26 days,2,0,6
27 days,2,0,8
28 days,0,0,8
29 days,0,0,13
30 days,0,0,19
31 days,0,0,38
32 days,1,0,42
33 days,1,0,39
34 days,1,0,21
35 days,0,0,18
