Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,3.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,1.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,1.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,3.0
12 days,1.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,14.0,0.0,0.0
15 days,15.0,0.0,0.0
16 days,12.0,0.0,0.0
17 days,29.0,0.0,0.0
18 days,11.0,0.0,0.0
19 days,25.0,0.0,0.0
20 days,46.0,1.0,0.0
21 days,39.0,1.0,0.0
22 days,48.0,0.0,0.0
23 days,65.0,1.0,0.0
24 days,51.0,1.0,0.0
25 days,38.0,1.0,0.0
26 days,70.0,1.0,0.0
27 days,110.0,2.0,0.0
28 days,132.0,4.0,0.0
29 days,131.0,4.0,0.0
30 days,145.0,4.0,0.0
31 days,101.0,8.0,31.0
32 days,121.0,1.0,0.0
33 days,163.0,8.0,0.0
34 days,132.0,13.0,0.0
35 days,178.0,10.0,598.0
36 days,202.0,19.0,0.0
37 days,253.0,15.0,0.0
38 days,296.0,31.0,0.0
39 days,346.0,16.0,0.0
40 days,396.0,33.0,0.0
41 days,260.0,20.0,0.0
42 days,403.0,39.0,0.0
43 days,375.0,40.0,0.0
44 days,442.0,23.0,1139.0
45 days,353.0,36.0,71.0
46 days,385.0,74.0,121.0
47 days,448.0,43.0,161.0
48 days,450.0,37.0,0.0
49 days,578.0,60.0,0.0
50 days,622.0,104.0,0.0
51 days,764.0,36.0,502.0
52 days,511.0,26.0,0.0
53 days,729.0,145.0,0.0
54 days,1043.0,113.0,0.0
55 days,1089.0,99.0,0.0
56 days,1239.0,152.0,0.0
57 days,970.0,84.0,4522.0
58 days,835.0,46.0,1205.0
59 days,852.0,83.0,732.0
60 days,1223.0,135.0,2337.0
61 days,1047.0,163.0,0.0
62 days,1425.0,127.0,0.0
63 days,1515.0,113.0,954.0
64 days,1349.0,89.0,0.0
65 days,1383.0,93.0,1070.0
66 days,1434.0,117.0,0.0
67 days,1120.0,236.0,3363.0
68 days,1609.0,197.0,971.0
69 days,1982.0,257.0,0.0
70 days,1906.0,199.0,2533.0
71 days,1938.0,193.0,1510.0
72 days,1562.0,112.0,0.0
73 days,1305.0,108.0,1276.0
74 days,1997.0,353.0,2835.0
75 days,1862.0,294.0,1055.0
