Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,0,0,0
11 days,0,0,1
12 days,0,0,1
13 days,2,0,1
14 days,2,0,0
15 days,6,0,0
16 days,10,0,0
17 days,14,0,0
18 days,19,0,0
19 days,17,0,0
20 days,22,0,0
21 days,27,0,0
22 days,37,1,0
23 days,44,0,0
24 days,51,1,0
25 days,55,1,0
26 days,51,1,0
27 days,53,1,0
28 days,73,1,0
29 days,104,2,0
30 days,124,3,0
31 days,136,4,10
32 days,126,5,10
33 days,122,4,10
34 days,128,6,0
35 days,139,7,199
36 days,158,10,199
37 days,171,14,199
38 days,211,15,0
39 days,250,22,0
40 days,298,21,0
41 days,346,27,0
42 days,334,23,0
43 days,353,31,0
44 days,346,33,380
45 days,407,34,403
46 days,390,33,444
47 days,393,44,118
48 days,395,51,94
49 days,428,51,54
50 days,492,47,0
51 days,550,67,167
52 days,655,67,167
53 days,632,55,167
54 days,668,69,0
