Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,3,0,0
7 days,7,0,0
8 days,6,0,0
9 days,6,0,0
10 days,2,0,0
11 days,9,0,0
12 days,12,0,0
13 days,17,0,0
14 days,15,0,0
15 days,14,0,0
16 days,15,0,0
17 days,18,0,0
18 days,23,0,0
19 days,25,0,0
20 days,27,0,0
21 days,29,0,0
22 days,33,0,4
23 days,41,1,5
24 days,53,1,7
25 days,69,1,3
26 days,79,1,3
27 days,110,2,2
28 days,120,3,2
29 days,125,4,4
30 days,101,3,4
31 days,103,4,3
32 days,108,3,4
33 days,127,2,5
34 days,129,1,12
35 days,124,1,15
36 days,91,2,17
37 days,125,3,20
38 days,129,5,26
39 days,147,6,43
40 days,110,5,47
41 days,110,4,73
42 days,106,4,74
43 days,95,5,60
44 days,79,5,38
45 days,102,3,34
