Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,2,0,0
17 days,2,0,0
18 days,2,0,0
19 days,0,0,0
20 days,1,0,0
21 days,1,0,0
22 days,5,0,0
23 days,4,0,0
24 days,4,0,0
25 days,3,0,0
26 days,3,0,0
27 days,6,0,0
28 days,4,0,0
29 days,4,0,0
30 days,2,0,0
31 days,3,0,0
32 days,3,0,0
33 days,4,0,0
34 days,4,0,0
35 days,4,0,0
36 days,4,0,0
37 days,4,0,0
38 days,4,0,0
39 days,3,0,0
40 days,2,0,0
41 days,4,0,0
42 days,4,0,0
43 days,3,0,0
44 days,1,0,0
45 days,0,0,0
46 days,0,1,2
47 days,0,1,2
48 days,0,1,5
49 days,0,0,3
50 days,0,0,3
51 days,0,0,1
52 days,0,0,1
53 days,0,0,1
54 days,0,0,4
55 days,0,0,5
56 days,0,0,5
57 days,0,0,2
58 days,0,0,0
59 days,0,0,3
60 days,0,0,5
61 days,0,0,7
62 days,0,0,8
63 days,0,0,7
64 days,0,0,5
65 days,0,0,2
66 days,0,0,1
