Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,4,0,0
3 days,4,0,0
4 days,6,0,0
5 days,4,0,0
6 days,11,0,0
7 days,10,0,0
8 days,14,0,0
9 days,12,0,0
10 days,11,0,0
11 days,5,0,0
12 days,3,0,0
13 days,8,0,0
14 days,13,0,0
15 days,18,0,0
16 days,22,0,0
17 days,26,0,0
18 days,23,0,0
19 days,20,0,0
20 days,13,0,1
21 days,11,0,1
22 days,6,0,1
23 days,5,0,0
24 days,5,0,0
25 days,7,0,0
26 days,6,0,0
27 days,7,1,14
28 days,5,0,17
29 days,10,0,17
30 days,7,0,3
31 days,6,0,0
32 days,2,0,0
33 days,3,0,11
34 days,2,0,15
35 days,2,0,20
36 days,1,0,12
37 days,2,0,7
38 days,2,0,12
39 days,2,1,10
40 days,1,0,22
41 days,0,0,15
42 days,0,0,17
43 days,0,0,8
44 days,0,0,11
45 days,0,0,14
46 days,0,0,12
47 days,0,0,7
48 days,1,0,3
49 days,1,0,4
50 days,0,0,4
51 days,0,0,5
52 days,0,0,4
53 days,0,0,8
54 days,0,0,9
55 days,0,0,8
56 days,0,0,6
