Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,4,0,0
13 days,7,0,0
14 days,7,0,0
15 days,7,0,0
16 days,7,0,0
17 days,11,0,0
18 days,13,0,0
19 days,16,0,1
20 days,17,1,1
21 days,22,0,1
22 days,25,1,1
23 days,37,1,1
24 days,44,2,2
25 days,58,6,2
26 days,59,6,1
27 days,68,5,2
28 days,70,3,1
29 days,72,4,4
30 days,58,4,5
31 days,51,4,5
32 days,58,4,11
33 days,88,7,12
34 days,104,9,15
35 days,110,11,8
36 days,88,10,9
37 days,85,8,7
38 days,85,6,9
39 days,88,6,10
40 days,90,6,16
41 days,96,7,23
42 days,105,6,27
43 days,114,5,24
44 days,121,3,17
45 days,173,1,15
46 days,225,3,21
47 days,220,3,28
48 days,191,4,26
49 days,161,3,23
50 days,175,3,26
51 days,197,3,30
