Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,3,0,0
4 days,6,0,0
5 days,6,0,0
6 days,9,0,0
7 days,21,0,0
8 days,35,0,0
9 days,50,0,0
10 days,61,1,0
11 days,64,1,0
12 days,65,1,0
13 days,79,1,0
14 days,61,1,0
15 days,141,2,0
16 days,153,2,1
17 days,212,5,1
18 days,203,5,1
19 days,250,10,0
20 days,307,13,0
21 days,350,18,0
22 days,431,21,0
23 days,527,26,0
24 days,583,34,0
25 days,587,36,0
26 days,647,47,0
27 days,740,59,1
28 days,901,74,1
29 days,1022,90,1
30 days,1127,94,1
31 days,1154,112,23
32 days,1057,106,23
33 days,949,133,23
34 days,922,134,0
35 days,990,159,0
36 days,1051,150,0
37 days,1010,160,0
38 days,1055,143,0
39 days,1035,128,0
40 days,994,151,0
41 days,910,161,0
42 days,992,176,0
43 days,1180,137,0
44 days,1296,133,0
45 days,1281,115,0
46 days,1154,104,0
47 days,1003,101,0
48 days,857,133,0
49 days,891,165,0
50 days,1013,172,0
51 days,1150,156,0
52 days,1152,123,0
53 days,990,98,0
54 days,850,105,0
55 days,731,124,9
56 days,778,143,9
57 days,804,125,9
58 days,784,119,0
59 days,706,100,5
60 days,570,77,5
61 days,409,53,5
62 days,319,79,1
63 days,357,92,3
64 days,459,109,7
65 days,479,92,6
66 days,419,87,4
67 days,326,63,0
68 days,284,61,0
