Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,1,0,0
9 days,1,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,1,0,0
17 days,1,0,0
18 days,2,0,0
19 days,4,0,0
20 days,7,0,0
21 days,9,0,0
22 days,11,0,0
23 days,25,0,0
24 days,21,0,0
25 days,34,0,4
26 days,34,0,7
27 days,60,0,9
28 days,71,0,8
29 days,82,0,9
30 days,77,0,10
31 days,74,0,9
32 days,65,0,8
33 days,65,0,9
34 days,69,0,10
35 days,74,0,10
36 days,81,0,15
37 days,81,0,21
38 days,79,0,24
39 days,70,0,38
40 days,57,0,42
41 days,44,0,47
42 days,41,0,44
43 days,34,1,47
44 days,30,1,51
45 days,22,1,58
46 days,18,2,69
47 days,19,2,86
48 days,17,1,75
49 days,14,1,63
50 days,12,1,46
51 days,10,1,47
52 days,10,0,53
53 days,8,1,46
54 days,7,1,41
