Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,4.0,1.0,0.0
6 days,3.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,8.0,0.0,0.0
10 days,9.0,2.0,0.0
11 days,0.0,0.0,0.0
12 days,47.0,2.0,0.0
13 days,24.0,0.0,0.0
14 days,22.0,0.0,0.0
15 days,24.0,3.0,0.0
16 days,40.0,2.0,13.0
17 days,69.0,0.0,13.0
18 days,25.0,1.0,0.0
19 days,64.0,0.0,2.0
20 days,68.0,0.0,12.0
21 days,28.0,0.0,1.0
22 days,53.0,0.0,0.0
23 days,38.0,1.0,34.0
24 days,0.0,0.0,0.0
25 days,41.0,2.0,15.0
26 days,14.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,43.0,4.0,20.0
29 days,12.0,1.0,3.0
30 days,9.0,1.0,4.0
31 days,0.0,0.0,0.0
32 days,9.0,0.0,10.0
33 days,5.0,2.0,66.0
