Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,2,0,0
7 days,1,0,0
8 days,3,0,0
9 days,6,1,0
10 days,6,1,0
11 days,19,1,0
12 days,24,1,0
13 days,31,1,0
14 days,23,1,0
15 days,29,2,4
16 days,44,2,9
17 days,45,1,9
18 days,53,0,5
19 days,52,0,5
20 days,53,0,5
21 days,50,0,4
22 days,40,0,12
23 days,30,0,11
24 days,26,1,16
25 days,18,1,5
26 days,18,1,5
27 days,19,1,7
28 days,18,2,8
29 days,21,2,9
30 days,7,1,2
31 days,6,0,5
32 days,5,1,25
33 days,8,1,46
34 days,8,1,54
35 days,7,2,44
36 days,8,2,31
37 days,7,2,32
38 days,8,1,26
39 days,6,1,28
40 days,6,1,22
41 days,6,1,25
42 days,8,1,24
43 days,10,1,22
44 days,9,1,19
45 days,9,1,12
46 days,7,1,14
47 days,9,2,17
48 days,11,2,19
49 days,15,2,19
50 days,13,1,13
51 days,12,1,12
52 days,13,1,10
53 days,13,1,11
