Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,1.0,0.0,0.0
19 days,5.0,0.0,1.0
20 days,0.0,0.0,0.0
21 days,4.0,0.0,0.0
22 days,10.0,0.0,0.0
23 days,8.0,0.0,1.0
24 days,10.0,1.0,0.0
25 days,4.0,0.0,0.0
26 days,7.0,0.0,0.0
27 days,14.0,0.0,0.0
28 days,5.0,0.0,1.0
29 days,19.0,0.0,0.0
30 days,22.0,0.0,0.0
31 days,20.0,1.0,5.0
32 days,4.0,0.0,0.0
33 days,39.0,0.0,1.0
34 days,10.0,0.0,11.0
35 days,26.0,2.0,5.0
36 days,4.0,0.0,0.0
37 days,18.0,1.0,8.0
38 days,6.0,0.0,2.0
39 days,16.0,1.0,9.0
40 days,22.0,0.0,0.0
41 days,12.0,1.0,7.0
42 days,17.0,0.0,7.0
43 days,13.0,3.0,12.0
44 days,5.0,0.0,15.0
45 days,20.0,0.0,6.0
46 days,30.0,1.0,8.0
47 days,34.0,1.0,29.0
48 days,35.0,1.0,24.0
49 days,51.0,4.0,7.0
50 days,49.0,2.0,7.0
51 days,85.0,2.0,4.0
52 days,38.0,1.0,18.0
53 days,0.0,0.0,0.0
54 days,208.0,6.0,9.0
55 days,108.0,3.0,0.0
56 days,114.0,1.0,11.0
57 days,87.0,3.0,14.0
58 days,91.0,5.0,17.0
59 days,64.0,0.0,16.0
60 days,195.0,4.0,0.0
61 days,196.0,7.0,52.0
62 days,204.0,7.0,12.0
63 days,238.0,10.0,32.0
64 days,218.0,17.0,0.0
65 days,170.0,2.0,49.0
66 days,244.0,6.0,17.0
67 days,148.0,5.0,64.0
68 days,195.0,5.0,53.0
69 days,381.0,4.0,67.0
70 days,386.0,10.0,78.0
71 days,239.0,11.0,66.0
72 days,248.0,15.0,33.0
73 days,242.0,7.0,124.0
74 days,146.0,8.0,57.0
75 days,184.0,6.0,111.0
