Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,2,0,0
20 days,2,0,0
21 days,3,0,0
22 days,5,0,0
23 days,7,0,0
24 days,9,0,0
25 days,7,0,0
26 days,7,0,0
27 days,8,0,0
28 days,9,0,0
29 days,13,0,0
30 days,15,0,0
31 days,20,0,2
32 days,15,0,2
33 days,21,0,2
34 days,18,0,4
35 days,25,1,6
36 days,13,1,5
37 days,16,1,4
38 days,9,0,3
39 days,13,1,6
40 days,15,0,4
41 days,17,1,5
42 days,17,0,5
43 days,14,1,9
44 days,12,1,11
45 days,13,1,11
46 days,18,0,10
47 days,28,1,14
48 days,33,1,20
49 days,40,2,20
50 days,45,2,13
51 days,62,3,6
52 days,57,2,10
53 days,41,1,7
54 days,82,2,9
55 days,105,3,3
56 days,143,3,7
57 days,103,2,8
58 days,97,3,14
59 days,81,3,16
60 days,117,3,11
61 days,152,4,23
62 days,198,6,21
63 days,213,8,32
64 days,220,11,15
65 days,209,10,27
66 days,211,8,22
67 days,187,4,43
