Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,2.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,7.0,0.0,1.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,4.0,0.0,0.0
20 days,8.0,0.0,0.0
21 days,9.0,0.0,0.0
22 days,13.0,0.0,0.0
23 days,19.0,0.0,0.0
24 days,18.0,0.0,0.0
25 days,30.0,1.0,0.0
26 days,21.0,1.0,0.0
27 days,12.0,0.0,0.0
28 days,29.0,1.0,0.0
29 days,24.0,0.0,2.0
30 days,18.0,0.0,0.0
31 days,22.0,1.0,0.0
32 days,18.0,2.0,0.0
33 days,26.0,1.0,9.0
34 days,44.0,2.0,0.0
35 days,25.0,2.0,5.0
36 days,30.0,0.0,0.0
37 days,46.0,1.0,3.0
38 days,53.0,5.0,0.0
39 days,72.0,1.0,3.0
40 days,15.0,5.0,7.0
41 days,29.0,3.0,0.0
42 days,18.0,3.0,5.0
43 days,46.0,1.0,2.0
44 days,48.0,2.0,4.0
45 days,49.0,2.0,0.0
46 days,68.0,0.0,0.0
47 days,26.0,4.0,3.0
48 days,54.0,6.0,42.0
49 days,66.0,1.0,12.0
50 days,107.0,1.0,23.0
51 days,36.0,3.0,18.0
52 days,53.0,0.0,25.0
53 days,37.0,2.0,15.0
54 days,18.0,3.0,21.0
55 days,6.0,1.0,24.0
56 days,28.0,1.0,48.0
57 days,41.0,0.0,29.0
58 days,26.0,1.0,36.0
59 days,41.0,2.0,37.0
60 days,19.0,2.0,126.0
61 days,13.0,4.0,53.0
62 days,22.0,6.0,36.0
63 days,21.0,2.0,38.0
64 days,23.0,4.0,111.0
65 days,29.0,4.0,69.0
66 days,12.0,1.0,45.0
67 days,5.0,2.0,93.0
68 days,7.0,1.0,47.0
69 days,8.0,1.0,21.0
70 days,13.0,2.0,44.0
71 days,33.0,1.0,22.0
72 days,14.0,1.0,20.0
73 days,36.0,1.0,13.0
74 days,20.0,0.0,24.0
75 days,22.0,0.0,64.0
76 days,10.0,1.0,5.0
77 days,20.0,3.0,24.0
