Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,0,0,0
13 days,1,0,0
14 days,1,0,0
15 days,1,0,0
16 days,2,0,0
17 days,2,0,0
18 days,2,0,0
19 days,1,0,0
20 days,4,0,0
21 days,7,0,0
22 days,10,0,0
23 days,14,0,0
24 days,17,0,0
25 days,22,0,0
26 days,23,1,0
27 days,21,1,0
28 days,21,1,0
29 days,22,0,1
30 days,24,0,1
31 days,21,0,1
32 days,19,1,0
33 days,22,1,3
34 days,29,2,3
35 days,32,2,5
36 days,33,1,2
37 days,34,1,3
38 days,43,2,1
39 days,57,2,2
40 days,47,4,3
41 days,39,3,3
42 days,21,4,4
43 days,31,2,2
44 days,37,2,4
45 days,48,2,2
46 days,55,1,1
47 days,48,2,1
48 days,49,3,15
49 days,49,4,19
50 days,76,3,26
51 days,70,2,18
52 days,65,1,22
53 days,42,2,19
54 days,36,2,20
55 days,20,2,20
56 days,17,2,31
