Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,5.0,0.0,0.0
3 days,9.0,0.0,0.0
4 days,4.0,0.0,0.0
5 days,6.0,0.0,0.0
6 days,7.0,0.0,0.0
7 days,24.0,0.0,0.0
8 days,31.0,0.0,0.0
9 days,21.0,0.0,0.0
10 days,39.0,0.0,0.0
11 days,29.0,0.0,0.0
12 days,29.0,0.0,1.0
13 days,195.0,0.0,0.0
14 days,198.0,0.0,0.0
15 days,104.0,0.0,0.0
16 days,294.0,0.0,0.0
17 days,94.0,3.0,0.0
18 days,131.0,0.0,0.0
19 days,112.0,0.0,0.0
20 days,130.0,0.0,0.0
21 days,87.0,3.0,0.0
22 days,196.0,1.0,0.0
23 days,168.0,0.0,0.0
24 days,204.0,0.0,0.0
25 days,267.0,0.0,0.0
26 days,236.0,3.0,0.0
27 days,242.0,2.0,5.0
28 days,221.0,2.0,0.0
29 days,285.0,0.0,0.0
30 days,386.0,5.0,0.0
31 days,260.0,4.0,1.0
32 days,269.0,2.0,0.0
33 days,161.0,7.0,5.0
34 days,196.0,7.0,1.0
35 days,222.0,5.0,0.0
36 days,284.0,6.0,19.0
37 days,223.0,9.0,0.0
38 days,180.0,3.0,0.0
39 days,137.0,9.0,0.0
40 days,178.0,5.0,0.0
41 days,221.0,13.0,0.0
42 days,0.0,12.0,0.0
43 days,125.0,7.0,0.0
44 days,103.0,5.0,0.0
45 days,95.0,6.0,0.0
46 days,116.0,9.0,0.0
47 days,78.0,6.0,0.0
48 days,20.0,5.0,0.0
49 days,117.0,11.0,0.0
50 days,156.0,2.0,0.0
51 days,41.0,9.0,0.0
52 days,99.0,3.0,0.0
53 days,42.0,1.0,0.0
54 days,78.0,16.0,0.0
55 days,35.0,1.0,0.0
56 days,147.0,5.0,0.0
57 days,63.0,7.0,0.0
58 days,62.0,5.0,0.0
59 days,36.0,2.0,0.0
60 days,28.0,0.0,0.0
61 days,72.0,4.0,0.0
62 days,61.0,1.0,0.0
63 days,50.0,1.0,0.0
64 days,28.0,3.0,0.0
65 days,45.0,0.0,0.0
66 days,26.0,1.0,0.0
67 days,38.0,0.0,0.0
68 days,57.0,3.0,0.0
69 days,51.0,1.0,0.0
70 days,41.0,1.0,0.0
71 days,38.0,1.0,0.0
72 days,36.0,1.0,0.0
73 days,29.0,1.0,0.0
74 days,6.0,0.0,0.0
75 days,27.0,5.0,0.0
76 days,25.0,4.0,0.0
77 days,18.0,1.0,0.0
