Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,5,0,0
4 days,6,0,0
5 days,6,0,0
6 days,6,0,0
7 days,12,0,0
8 days,21,0,0
9 days,25,0,0
10 days,30,0,0
11 days,30,0,0
12 days,32,0,0
13 days,84,0,0
14 days,141,0,0
15 days,166,0,0
16 days,199,0,0
17 days,164,1,0
18 days,173,1,0
19 days,112,1,0
20 days,124,0,0
21 days,110,1,0
22 days,138,1,0
23 days,150,1,0
24 days,189,0,0
25 days,213,0,0
26 days,236,1,0
27 days,248,2,2
28 days,233,2,2
29 days,249,1,2
30 days,297,2,0
31 days,310,3,0
32 days,305,4,0
33 days,230,4,2
34 days,209,5,2
35 days,193,6,2
36 days,234,6,7
37 days,243,7,6
38 days,229,6,6
39 days,180,7,0
40 days,165,6,0
41 days,179,9,0
42 days,133,10,0
43 days,115,11,0
44 days,76,8,0
45 days,108,6,0
46 days,105,7,0
47 days,96,7,0
48 days,71,7,0
49 days,72,7,0
50 days,98,6,0
51 days,105,7,0
52 days,99,5,0
53 days,61,4,0
54 days,73,7,0
55 days,52,6,0
56 days,87,7,0
