Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,2.0,0.0,1.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,6.0,0.0,1.0
9 days,3.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,2.0,0.0,7.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,1.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,3.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,2.0,0.0,0.0
23 days,15.0,0.0,3.0
24 days,9.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,4.0,0.0,0.0
27 days,3.0,0.0,5.0
28 days,11.0,0.0,0.0
29 days,18.0,0.0,0.0
30 days,15.0,0.0,0.0
31 days,10.0,0.0,6.0
32 days,22.0,0.0,0.0
33 days,21.0,0.0,0.0
34 days,15.0,0.0,0.0
35 days,12.0,0.0,6.0
36 days,13.0,1.0,5.0
37 days,18.0,0.0,0.0
38 days,21.0,0.0,23.0
39 days,21.0,0.0,0.0
40 days,25.0,1.0,4.0
41 days,21.0,0.0,0.0
42 days,33.0,0.0,0.0
43 days,40.0,0.0,6.0
44 days,48.0,0.0,5.0
45 days,38.0,1.0,37.0
46 days,27.0,0.0,0.0
47 days,62.0,0.0,0.0
48 days,53.0,1.0,0.0
49 days,128.0,0.0,15.0
50 days,86.0,0.0,6.0
51 days,97.0,0.0,1.0
52 days,109.0,0.0,45.0
53 days,50.0,2.0,0.0
54 days,111.0,0.0,0.0
55 days,86.0,1.0,57.0
56 days,144.0,0.0,5.0
57 days,98.0,1.0,0.0
58 days,106.0,0.0,0.0
