Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,2,0,0
9 days,3,0,0
10 days,3,0,0
11 days,1,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,1,0,2
16 days,1,0,2
17 days,1,0,2
18 days,0,0,0
19 days,0,0,0
20 days,1,0,0
21 days,1,0,0
22 days,2,0,0
23 days,6,0,1
24 days,9,0,1
25 days,8,0,1
26 days,4,0,0
27 days,2,0,2
28 days,6,0,2
29 days,11,0,2
30 days,15,0,0
31 days,14,0,2
32 days,16,0,2
33 days,18,0,2
34 days,19,0,0
35 days,16,0,2
36 days,13,0,4
37 days,14,0,4
38 days,17,0,9
39 days,20,0,8
40 days,22,0,9
41 days,22,0,1
42 days,26,0,1
43 days,31,0,2
44 days,40,0,4
45 days,42,0,16
46 days,38,0,14
47 days,42,0,12
48 days,47,0,0
49 days,81,0,5
50 days,89,0,7
51 days,104,0,7
52 days,97,0,17
53 days,85,1,15
54 days,90,1,15
55 days,82,1,19
56 days,114,0,21
57 days,109,1,21
58 days,116,0,2
