Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,3,0,0
13 days,4,0,0
14 days,5,0,0
15 days,4,0,0
16 days,4,0,0
17 days,11,0,0
18 days,36,0,0
19 days,68,0,0
20 days,82,0,0
21 days,106,1,1
22 days,88,1,1
23 days,144,1,1
24 days,107,1,0
25 days,125,1,0
26 days,81,1,4
27 days,96,1,5
28 days,109,1,5
29 days,134,1,2
30 days,144,1,3
31 days,132,2,3
32 days,115,3,18
33 days,148,5,16
34 days,174,4,22
35 days,235,4,16
36 days,249,5,17
37 days,233,5,12
38 days,245,4,29
39 days,360,4,44
40 days,406,5,99
41 days,369,5,85
42 days,241,4,104
43 days,220,3,99
44 days,249,8,98
45 days,247,9,152
46 days,267,9,123
47 days,275,3,205
48 days,384,7,139
49 days,474,12,183
50 days,396,13,129
51 days,418,11,129
52 days,476,13,74
53 days,464,14,68
54 days,642,19,80
55 days,576,15,96
56 days,912,20,186
57 days,792,17,227
58 days,882,19,237
59 days,724,15,136
60 days,658,13,91
61 days,630,14,122
62 days,732,21,163
63 days,967,31,429
64 days,1167,35,494
65 days,1193,32,464
66 days,1089,24,266
67 days,942,20,307
68 days,982,25,328
69 days,1330,36,450
70 days,1234,36,276
71 days,1462,28,576
72 days,1554,24,448
73 days,1897,25,533
74 days,1882,36,342
75 days,1867,34,334
76 days,1655,34,279
