Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,7.0,1.0,0.0
2 days,3.0,0.0,0.0
3 days,16.0,0.0,0.0
4 days,9.0,0.0,0.0
5 days,7.0,0.0,0.0
6 days,12.0,0.0,0.0
7 days,14.0,0.0,0.0
8 days,17.0,0.0,0.0
9 days,23.0,0.0,0.0
10 days,28.0,0.0,0.0
11 days,63.0,0.0,0.0
12 days,113.0,2.0,0.0
13 days,32.0,3.0,0.0
14 days,0.0,0.0,1.0
15 days,98.0,2.0,0.0
16 days,115.0,0.0,1.0
17 days,116.0,1.0,0.0
18 days,112.0,5.0,0.0
19 days,115.0,3.0,2.0
20 days,88.0,7.0,0.0
21 days,192.0,6.0,5.0
22 days,0.0,0.0,0.0
23 days,136.0,2.0,0.0
24 days,158.0,5.0,1.0
25 days,198.0,4.0,3.0
26 days,128.0,5.0,0.0
27 days,187.0,8.0,0.0
28 days,112.0,1.0,1.0
29 days,149.0,4.0,2.0
30 days,279.0,4.0,0.0
31 days,224.0,3.0,0.0
32 days,222.0,8.0,1.0
33 days,260.0,5.0,6.0
34 days,166.0,8.0,6.0
35 days,72.0,7.0,32.0
36 days,102.0,1.0,11.0
37 days,177.0,8.0,3.0
38 days,265.0,6.0,23.0
39 days,194.0,7.0,24.0
40 days,63.0,4.0,18.0
41 days,194.0,6.0,25.0
42 days,191.0,10.0,39.0
43 days,163.0,5.0,27.0
