Dates,Infected,Dead,Recovered
2 days,4,0,0
3 days,9,0,0
4 days,9,0,0
5 days,11,0,0
6 days,9,0,0
7 days,11,0,0
8 days,14,0,0
9 days,18,0,0
10 days,23,0,0
11 days,38,0,0
12 days,68,1,0
13 days,69,2,0
14 days,48,2,0
15 days,43,2,0
16 days,71,1,1
17 days,110,1,0
18 days,114,2,0
19 days,114,3,1
20 days,105,5,1
21 days,132,5,2
22 days,93,4,2
23 days,109,3,2
24 days,98,2,0
25 days,164,4,1
26 days,161,5,1
27 days,171,6,1
28 days,142,5,0
29 days,149,4,1
30 days,180,3,1
31 days,217,4,1
32 days,242,5,0
33 days,235,5,2
34 days,216,7,4
35 days,166,7,15
36 days,113,5,16
37 days,117,5,15
38 days,181,5,12
39 days,212,7,17
40 days,174,6,22
41 days,150,6,22
42 days,149,7,27
43 days,183,7,30
44 days,233,7,35
45 days,227,6,38
46 days,239,6,36
47 days,204,6,22
48 days,228,4,45
49 days,161,3,39
50 days,200,4,63
51 days,170,7,40
52 days,233,8,56
53 days,237,6,38
54 days,186,3,22
55 days,159,3,6
56 days,144,4,61
