Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,2,0,0
27 days,2,0,0
28 days,2,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,0,0,0
37 days,0,0,0
38 days,0,0,0
39 days,0,0,0
40 days,0,0,0
41 days,0,0,0
42 days,0,0,0
43 days,0,0,0
44 days,0,0,3
45 days,0,0,3
46 days,0,0,3
47 days,0,0,0
48 days,0,0,0
49 days,0,0,0
50 days,0,0,0
51 days,0,0,0
52 days,0,0,0
53 days,0,0,0
