Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,4.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,2.0,0.0,0.0
9 days,1.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,2.0,0.0,0.0
13 days,5.0,1.0,0.0
14 days,4.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,5.0,1.0,0.0
17 days,10.0,1.0,0.0
18 days,4.0,0.0,0.0
19 days,11.0,0.0,1.0
20 days,4.0,0.0,0.0
21 days,3.0,0.0,0.0
22 days,5.0,0.0,0.0
23 days,1.0,0.0,0.0
24 days,4.0,0.0,0.0
25 days,8.0,0.0,1.0
26 days,15.0,0.0,4.0
27 days,4.0,0.0,6.0
28 days,8.0,0.0,0.0
29 days,9.0,2.0,0.0
30 days,2.0,0.0,3.0
31 days,4.0,0.0,0.0
32 days,5.0,0.0,3.0
33 days,5.0,1.0,0.0
34 days,4.0,0.0,0.0
35 days,1.0,0.0,4.0
36 days,13.0,0.0,0.0
37 days,12.0,1.0,0.0
38 days,2.0,1.0,1.0
39 days,13.0,0.0,7.0
40 days,25.0,0.0,0.0
41 days,3.0,0.0,5.0
42 days,4.0,0.0,6.0
43 days,2.0,0.0,5.0
44 days,0.0,0.0,7.0
45 days,5.0,1.0,9.0
