Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,5.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,4.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,4.0,0.0,0.0
7 days,13.0,0.0,0.0
8 days,10.0,0.0,0.0
9 days,5.0,0.0,0.0
10 days,43.0,0.0,0.0
11 days,31.0,0.0,1.0
12 days,28.0,0.0,0.0
13 days,89.0,0.0,0.0
14 days,0.0,3.0,0.0
15 days,84.0,2.0,0.0
16 days,45.0,0.0,0.0
17 days,32.0,0.0,0.0
18 days,21.0,2.0,0.0
19 days,64.0,2.0,0.0
20 days,100.0,0.0,13.0
21 days,55.0,2.0,2.0
22 days,36.0,5.0,0.0
23 days,181.0,2.0,0.0
24 days,98.0,6.0,37.0
25 days,115.0,6.0,341.0
26 days,258.0,8.0,0.0
27 days,91.0,17.0,143.0
28 days,181.0,6.0,0.0
29 days,151.0,12.0,377.0
30 days,535.0,10.0,75.0
31 days,280.0,9.0,8.0
32 days,393.0,15.0,304.0
33 days,1388.0,14.0,32.0
34 days,914.0,17.0,105.0
35 days,641.0,31.0,131.0
36 days,951.0,12.0,170.0
37 days,671.0,12.0,59.0
38 days,2265.0,23.0,844.0
39 days,519.0,14.0,227.0
40 days,1172.0,24.0,239.0
41 days,1016.0,20.0,3012.0
42 days,998.0,26.0,421.0
43 days,931.0,48.0,143.0
44 days,1208.0,52.0,127.0
45 days,697.0,45.0,157.0
46 days,1512.0,39.0,14.0
47 days,1413.0,46.0,45.0
48 days,1664.0,42.0,395.0
49 days,734.0,62.0,74.0
50 days,3683.0,66.0,301.0
51 days,2186.0,28.0,291.0
52 days,1182.0,54.0,337.0
53 days,2491.0,72.0,754.0
54 days,2741.0,89.0,858.0
55 days,3045.0,108.0,368.0
56 days,3483.0,73.0,724.0
57 days,2075.0,76.0,1305.0
58 days,3394.0,86.0,1116.0
59 days,1444.0,58.0,877.0
60 days,3817.0,100.0,986.0
61 days,3628.0,89.0,2114.0
62 days,3709.0,94.0,861.0
63 days,3321.0,87.0,624.0
64 days,3168.0,100.0,1234.0
65 days,2292.0,75.0,1103.0
66 days,1515.0,72.0,1057.0
67 days,3237.0,96.0,918.0
68 days,4247.0,112.0,1000.0
