Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,2,0,0
3 days,3,0,0
4 days,2,0,0
5 days,3,0,0
6 days,6,0,0
7 days,9,0,0
8 days,9,0,0
9 days,19,0,0
10 days,26,0,0
11 days,34,0,0
12 days,49,0,0
13 days,39,1,0
14 days,58,2,0
15 days,43,2,0
16 days,54,1,0
17 days,33,1,0
18 days,39,1,0
19 days,62,1,4
20 days,73,1,5
21 days,64,2,5
22 days,91,3,1
23 days,105,4,12
24 days,131,5,126
25 days,157,7,126
26 days,155,10,161
27 days,177,10,48
28 days,141,12,173
29 days,289,9,151
30 days,322,10,153
31 days,403,11,129
32 days,687,13,115
33 days,898,15,147
34 days,981,21,89
35 days,835,20,135
36 days,754,18,120
37 days,1296,16,358
38 days,1152,16,377
39 days,1319,20,437
40 days,902,19,1159
41 days,1062,23,1224
42 days,982,31,1192
43 days,1046,42,230
44 days,945,48,142
45 days,1139,45,99
46 days,1207,43,72
47 days,1530,42,151
48 days,1270,50,171
49 days,2027,57,257
50 days,2201,52,222
51 days,2350,49,310
52 days,1953,51,461
53 days,2138,72,650
54 days,2759,90,660
55 days,3090,90,650
56 days,2868,86,799
57 days,2984,78,1048
58 days,2304,73,1099
59 days,2885,81,993
60 days,2963,82,1326
61 days,3718,94,1320
62 days,3553,90,1200
63 days,3399,94,906
64 days,2927,87,987
65 days,2325,82,1131
66 days,2348,81,1026
67 days,3000,93,992
