Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,1.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,1.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,0.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,0.0,0.0,0.0
35 days,0.0,0.0,0.0
36 days,2.0,0.0,0.0
37 days,1.0,0.0,0.0
38 days,4.0,0.0,0.0
39 days,10.0,0.0,0.0
40 days,13.0,0.0,1.0
41 days,16.0,0.0,0.0
42 days,3.0,1.0,0.0
43 days,12.0,3.0,0.0
44 days,47.0,3.0,0.0
45 days,29.0,3.0,0.0
46 days,2.0,1.0,0.0
47 days,45.0,0.0,3.0
48 days,15.0,5.0,0.0
49 days,15.0,0.0,3.0
50 days,13.0,1.0,0.0
51 days,77.0,1.0,5.0
52 days,73.0,6.0,4.0
53 days,82.0,8.0,0.0
54 days,90.0,2.0,3.0
55 days,84.0,3.0,6.0
56 days,71.0,7.0,2.0
57 days,96.0,9.0,3.0
58 days,272.0,14.0,4.0
59 days,343.0,3.0,7.0
60 days,128.0,7.0,0.0
61 days,538.0,10.0,7.0
62 days,227.0,8.0,1.0
63 days,322.0,11.0,1.0
64 days,385.0,29.0,1.0
65 days,76.0,8.0,5.0
66 days,152.0,8.0,7.0
67 days,414.0,11.0,9.0
68 days,104.0,14.0,11.0
69 days,106.0,5.0,12.0
70 days,206.0,21.0,28.0
71 days,119.0,18.0,16.0
72 days,233.0,26.0,17.0
73 days,220.0,50.0,40.0
74 days,284.0,18.0,45.0
75 days,291.0,20.0,53.0
76 days,230.0,14.0,58.0
77 days,207.0,13.0,82.0
78 days,218.0,25.0,52.0
79 days,209.0,10.0,29.0
80 days,172.0,12.0,56.0
81 days,200.0,19.0,41.0
82 days,140.0,9.0,41.0
83 days,111.0,9.0,39.0
