Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,1,0,0
36 days,1,0,0
37 days,2,0,0
38 days,5,0,0
39 days,9,0,0
40 days,13,0,0
41 days,11,0,0
42 days,10,1,0
43 days,21,2,0
44 days,29,3,0
45 days,26,2,0
46 days,25,1,1
47 days,21,2,1
48 days,25,2,2
49 days,14,2,1
50 days,35,1,3
51 days,54,3,3
52 days,77,5,3
53 days,82,5,2
54 days,85,4,3
55 days,82,4,4
56 days,84,6,4
57 days,146,10,3
58 days,237,9,5
59 days,248,8,4
60 days,336,7,5
61 days,298,8,3
62 days,362,10,3
63 days,311,16,1
64 days,261,16,2
65 days,204,15,4
66 days,214,9,7
67 days,223,11,9
68 days,208,10,11
69 days,139,13,17
70 days,144,15,19
71 days,186,22,20
72 days,191,31,24
73 days,246,31,34
74 days,265,29,46
75 days,268,17,52
76 days,243,16,64
77 days,218,17,64
78 days,211,16,54
79 days,200,16,46
80 days,194,14,42
81 days,171,13,46
82 days,150,12,40
83 days,174,11,36
84 days,198,13,36
85 days,195,16,33
86 days,199,13,47
87 days,195,11,57
88 days,221,12,61
89 days,211,19,54
90 days,237,19,37
91 days,271,16,36
92 days,239,15,34
93 days,245,13,57
94 days,238,15,77
95 days,252,11,95
96 days,260,17,97
97 days,286,21,101
98 days,260,20,109
99 days,202,15,112
100 days,150,11,102
101 days,208,10,88
102 days,247,16,88
103 days,275,18,109
