Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,1,0,0
3 days,3,0,0
4 days,4,0,0
5 days,6,0,0
6 days,7,0,0
7 days,11,0,0
8 days,15,1,0
9 days,24,1,0
10 days,23,1,0
11 days,36,1,0
12 days,45,1,0
13 days,44,1,0
14 days,59,0,0
15 days,62,0,0
16 days,95,0,0
17 days,93,1,0
18 days,108,1,0
19 days,122,2,0
20 days,139,2,2
21 days,157,3,2
22 days,163,2,2
23 days,196,1,0
24 days,214,2,0
25 days,222,5,0
26 days,224,5,0
27 days,231,7,13
28 days,297,9,16
29 days,357,13,16
30 days,358,12,23
31 days,385,12,26
32 days,343,12,35
33 days,407,17,25
34 days,368,22,29
35 days,387,22,41
36 days,369,17,42
37 days,384,16,51
38 days,366,19,52
39 days,326,21,56
40 days,282,18,81
41 days,303,18,76
42 days,328,23,96
43 days,392,23,83
44 days,387,20,104
45 days,456,15,89
46 days,405,16,89
47 days,371,18,105
48 days,294,22,158
49 days,306,25,202
50 days,345,31,216
51 days,368,33,204
52 days,369,27,175
53 days,337,23,174
54 days,315,24,176
55 days,341,30,253
56 days,325,27,257
57 days,296,18,279
58 days,245,13,246
59 days,272,11,236
60 days,300,16,201
61 days,352,17,173
62 days,349,18,237
63 days,347,19,256
64 days,312,20,301
65 days,304,17,261
66 days,316,15,279
67 days,320,12,211
68 days,423,18,231
69 days,403,20,237
