Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,2,0,0
4 days,4,0,0
5 days,5,0,0
6 days,7,0,0
7 days,6,0,0
8 days,7,0,0
9 days,10,0,0
10 days,10,0,0
11 days,24,0,0
12 days,37,0,1
13 days,62,0,1
14 days,73,0,1
15 days,93,0,0
16 days,68,1,0
17 days,151,1,0
18 days,191,2,1
19 days,277,3,1
20 days,272,4,1
21 days,347,6,0
22 days,361,7,6
23 days,465,10,6
24 days,495,12,13
25 days,635,14,7
26 days,725,19,7
27 days,806,20,0
28 days,713,21,0
29 days,758,20,0
30 days,763,23,0
31 days,875,23,8
32 days,814,29,8
33 days,758,26,11
34 days,748,29,2
35 days,615,22,24
36 days,639,26,36
37 days,621,28,40
38 days,742,33,22
39 days,1010,30,16
40 days,949,30,23
41 days,876,32,24
42 days,487,33,15
43 days,487,32,27
44 days,502,32,35
45 days,636,31,72
46 days,525,30,57
47 days,531,29,76
48 days,455,28,39
49 days,614,26,30
50 days,565,25,102
51 days,592,24,178
52 days,497,28,197
53 days,473,31,104
54 days,470,32,45
55 days,504,28,43
56 days,410,25,43
57 days,310,23,37
58 days,214,23,47
59 days,339,20,54
60 days,289,20,86
61 days,228,17,67
62 days,79,18,57
63 days,111,19,22
64 days,171,17,24
