Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,4.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,7.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,6.0,0.0,0.0
11 days,238.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,58.0,0.0,0.0
14 days,17.0,0.0,4.0
15 days,64.0,0.0,0.0
16 days,38.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,13.0,0.0,0.0
19 days,8.0,0.0,0.0
20 days,10.0,0.0,6.0
21 days,11.0,0.0,17.0
22 days,13.0,0.0,6.0
23 days,7.0,0.0,0.0
24 days,25.0,0.0,8.0
25 days,11.0,0.0,0.0
26 days,12.0,0.0,2.0
27 days,13.0,0.0,0.0
28 days,28.0,1.0,2.0
29 days,44.0,0.0,3.0
30 days,59.0,0.0,3.0
31 days,88.0,1.0,11.0
32 days,54.0,0.0,9.0
33 days,114.0,1.0,1.0
34 days,126.0,0.0,21.0
35 days,250.0,0.0,16.0
36 days,279.0,1.0,14.0
37 days,228.0,0.0,8.0
38 days,225.0,2.0,19.0
39 days,153.0,0.0,28.0
40 days,166.0,0.0,28.0
41 days,136.0,0.0,21.0
42 days,216.0,0.0,20.0
43 days,251.0,1.0,28.0
44 days,252.0,0.0,59.0
45 days,197.0,0.0,39.0
46 days,283.0,0.0,33.0
47 days,392.0,0.0,9.0
48 days,560.0,0.0,49.0
49 days,345.0,1.0,46.0
50 days,440.0,0.0,8.0
51 days,567.0,1.0,37.0
52 days,518.0,0.0,59.0
53 days,608.0,1.0,75.0
54 days,623.0,0.0,61.0
55 days,761.0,0.0,59.0
56 days,833.0,0.0,120.0
57 days,929.0,0.0,83.0
58 days,957.0,0.0,54.0
59 days,677.0,0.0,68.0
60 days,643.0,0.0,109.0
61 days,845.0,0.0,129.0
62 days,687.0,2.0,64.0
63 days,776.0,0.0,98.0
64 days,679.0,0.0,130.0
65 days,640.0,0.0,146.0
66 days,951.0,0.0,114.0
67 days,830.0,0.0,146.0
68 days,918.0,0.0,216.0
69 days,1311.0,0.0,84.0
70 days,1130.0,1.0,79.0
71 days,1189.0,1.0,304.0
72 days,1103.0,0.0,87.0
73 days,1526.0,0.0,179.0
74 days,1390.0,0.0,124.0
