Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,2,0,0
3 days,2,0,0
4 days,2,0,0
5 days,0,0,0
6 days,0,0,0
7 days,2,0,0
8 days,3,0,0
9 days,5,0,0
10 days,82,0,0
11 days,81,0,0
12 days,99,0,0
13 days,25,0,1
14 days,46,0,1
15 days,40,0,1
16 days,34,0,0
17 days,17,0,0
18 days,7,0,0
19 days,10,0,2
20 days,10,0,8
21 days,11,0,10
22 days,10,0,8
23 days,15,0,5
24 days,14,0,3
25 days,16,0,3
26 days,12,0,1
27 days,18,0,1
28 days,28,0,2
29 days,44,0,3
30 days,64,0,6
31 days,67,0,8
32 days,85,1,7
33 days,98,0,10
34 days,163,0,13
35 days,218,0,17
36 days,252,0,13
37 days,244,1,14
38 days,202,1,18
39 days,181,1,25
40 days,152,0,26
41 days,173,0,23
42 days,201,0,23
43 days,240,0,36
44 days,233,0,42
45 days,244,0,44
46 days,291,0,27
47 days,412,0,30
48 days,432,0,35
49 days,448,0,34
50 days,451,1,30
51 days,508,0,35
52 days,564,1,57
53 days,583,0,65
54 days,664,0,65
55 days,739,0,80
56 days,841,0,87
57 days,906,0,86
58 days,854,0,68
59 days,759,0,77
60 days,722,0,102
61 days,725,1,101
62 days,769,1,97
63 days,714,1,97
64 days,698,0,125
65 days,757,0,130
66 days,807,0,135
67 days,900,0,159
68 days,1020,0,149
69 days,1120,0,126
70 days,1210,1,156
71 days,1141,1,157
72 days,1273,0,190
73 days,1340,0,130
