Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,1.0
8 days,2.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,0.0,0.0,2.0
11 days,6.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,10.0,0.0,0.0
14 days,20.0,0.0,3.0
15 days,4.0,0.0,0.0
16 days,40.0,0.0,1.0
17 days,34.0,0.0,2.0
18 days,8.0,0.0,0.0
19 days,27.0,0.0,0.0
20 days,26.0,0.0,7.0
21 days,76.0,0.0,3.0
22 days,17.0,0.0,6.0
23 days,31.0,0.0,0.0
24 days,59.0,0.0,27.0
25 days,66.0,3.0,12.0
26 days,143.0,4.0,0.0
27 days,218.0,4.0,15.0
28 days,112.0,6.0,7.0
29 days,123.0,6.0,8.0
30 days,263.0,3.0,21.0
31 days,160.0,11.0,24.0
32 days,363.0,6.0,67.0
33 days,294.0,22.0,3.0
34 days,136.0,17.0,11.0
35 days,215.0,10.0,32.0
36 days,278.0,23.0,15.0
37 days,445.0,18.0,16.0
38 days,430.0,13.0,46.0
39 days,251.0,5.0,45.0
40 days,193.0,25.0,32.0
41 days,360.0,21.0,54.0
42 days,344.0,23.0,68.0
43 days,441.0,28.0,119.0
44 days,265.0,22.0,82.0
45 days,523.0,21.0,29.0
46 days,310.0,25.0,94.0
47 days,333.0,15.0,62.0
48 days,246.0,20.0,137.0
49 days,337.0,21.0,166.0
50 days,491.0,20.0,140.0
51 days,360.0,19.0,151.0
52 days,351.0,10.0,222.0
53 days,328.0,30.0,162.0
54 days,190.0,27.0,125.0
55 days,306.0,20.0,136.0
56 days,468.0,26.0,253.0
57 days,386.0,21.0,72.0
58 days,321.0,22.0,339.0
59 days,218.0,34.0,73.0
60 days,401.0,18.0,164.0
61 days,303.0,22.0,87.0
62 days,277.0,22.0,263.0
63 days,362.0,30.0,165.0
64 days,262.0,24.0,448.0
65 days,327.0,27.0,311.0
66 days,165.0,27.0,219.0
67 days,431.0,19.0,322.0
68 days,349.0,28.0,400.0
69 days,325.0,23.0,185.0
70 days,270.0,23.0,334.0
71 days,392.0,24.0,356.0
72 days,312.0,35.0,279.0
73 days,320.0,16.0,489.0
74 days,231.0,22.0,139.0
75 days,226.0,21.0,194.0
76 days,190.0,20.0,440.0
77 days,224.0,34.0,276.0
