Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,1,0,0
8 days,2,0,0
9 days,2,0,1
10 days,3,0,1
11 days,2,0,1
12 days,5,0,0
13 days,10,0,1
14 days,11,0,1
15 days,21,0,1
16 days,26,0,1
17 days,27,0,1
18 days,23,0,1
19 days,20,0,2
20 days,43,0,3
21 days,40,0,5
22 days,41,0,3
23 days,36,0,11
24 days,52,1,13
25 days,89,2,13
26 days,142,4,9
27 days,158,5,7
28 days,151,5,10
29 days,166,5,12
30 days,182,7,18
31 days,262,7,37
32 days,272,13,31
33 days,264,15,27
34 days,215,16,15
35 days,210,17,19
36 days,313,17,21
37 days,384,18,26
38 days,375,12,36
39 days,291,14,41
40 days,268,17,44
41 days,299,23,51
42 days,382,24,80
43 days,350,24,90
44 days,410,24,77
45 days,366,23,68
46 days,389,20,62
47 days,296,20,98
48 days,305,19,122
49 days,358,20,148
50 days,396,20,152
51 days,401,16,171
52 days,346,20,178
53 days,290,22,170
54 days,275,26,141
55 days,321,24,171
56 days,387,22,154
57 days,392,23,221
58 days,308,26,161
59 days,313,25,192
60 days,307,25,108
61 days,327,21,171
62 days,314,25,172
63 days,300,25,292
64 days,317,27,308
65 days,251,26,326
66 days,308,24,284
67 days,315,25,314
68 days,368,23,302
69 days,315,25,306
70 days,329,23,292
71 days,325,27,323
72 days,341,25,375
73 days,288,24,302
74 days,259,20,274
75 days,216,21,258
76 days,213,25,303
