Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,2.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,1.0,0.0,0.0
32 days,0.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,1.0,0.0,0.0
35 days,9.0,0.0,0.0
36 days,0.0,0.0,0.0
37 days,4.0,0.0,1.0
38 days,0.0,0.0,0.0
39 days,3.0,0.0,0.0
40 days,0.0,0.0,0.0
41 days,8.0,0.0,0.0
42 days,17.0,0.0,0.0
43 days,14.0,0.0,5.0
44 days,4.0,0.0,0.0
45 days,27.0,0.0,0.0
46 days,24.0,0.0,0.0
47 days,33.0,0.0,0.0
48 days,52.0,1.0,1.0
49 days,54.0,0.0,0.0
50 days,53.0,0.0,3.0
51 days,61.0,0.0,4.0
52 days,71.0,0.0,0.0
53 days,57.0,0.0,6.0
54 days,163.0,2.0,7.0
55 days,182.0,0.0,9.0
56 days,196.0,1.0,7.0
57 days,228.0,0.0,4.0
58 days,270.0,4.0,15.0
59 days,302.0,1.0,2.0
60 days,501.0,8.0,55.0
61 days,440.0,7.0,69.0
62 days,771.0,6.0,45.0
63 days,601.0,4.0,46.0
64 days,582.0,9.0,52.0
65 days,658.0,2.0,22.0
66 days,954.0,2.0,51.0
67 days,1154.0,11.0,88.0
68 days,1175.0,5.0,86.0
69 days,1459.0,13.0,118.0
70 days,1786.0,18.0,97.0
71 days,1667.0,12.0,250.0
72 days,2186.0,24.0,246.0
73 days,2558.0,18.0,179.0
74 days,2774.0,22.0,224.0
75 days,3388.0,28.0,292.0
76 days,3448.0,34.0,318.0
77 days,4070.0,41.0,286.0
78 days,4785.0,40.0,467.0
79 days,6060.0,48.0,234.0
80 days,4268.0,44.0,155.0
81 days,5642.0,51.0,427.0
82 days,5236.0,57.0,547.0
83 days,4774.0,42.0,471.0
84 days,5849.0,60.0,677.0
85 days,5966.0,66.0,682.0
86 days,6361.0,66.0,517.0
87 days,6198.0,47.0,579.0
88 days,6411.0,73.0,1110.0
89 days,5841.0,105.0,1830.0
90 days,7099.0,101.0,1333.0
91 days,7933.0,96.0,1601.0
92 days,9623.0,53.0,1793.0
93 days,10633.0,58.0,1626.0
94 days,10581.0,76.0,1456.0
95 days,10102.0,95.0,1770.0
96 days,10559.0,86.0,1462.0
97 days,11231.0,88.0,2476.0
98 days,10699.0,98.0,2805.0
99 days,10817.0,104.0,5308.0
100 days,11012.0,88.0,2390.0
101 days,11656.0,94.0,5495.0
102 days,10899.0,107.0,3711.0
103 days,10028.0,96.0,4491.0
