Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,1
12 days,0,0,1
13 days,0,0,1
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,3,0,0
35 days,3,0,0
36 days,4,0,0
37 days,1,0,0
38 days,2,0,0
39 days,1,0,0
40 days,4,0,0
41 days,8,0,0
42 days,13,0,2
43 days,12,0,2
44 days,15,0,2
45 days,18,0,0
46 days,28,0,0
47 days,36,0,0
48 days,46,0,0
49 days,53,0,1
50 days,56,0,2
51 days,62,0,2
52 days,63,0,3
53 days,97,1,4
54 days,134,1,7
55 days,180,1,8
56 days,202,0,7
57 days,231,2,9
58 days,267,2,7
59 days,358,4,24
60 days,414,5,42
61 days,571,7,56
62 days,604,6,53
63 days,651,6,48
64 days,614,5,40
65 days,731,4,42
66 days,922,5,54
67 days,1094,6,75
68 days,1263,10,97
69 days,1473,12,100
70 days,1637,14,155
71 days,1880,18,198
72 days,2137,18,225
73 days,2506,21,216
74 days,2907,23,232
75 days,3203,28,278
76 days,3635,34,299
77 days,4101,38,357
78 days,4972,43,329
79 days,5038,44,285
80 days,5323,48,272
81 days,5049,51,376
82 days,5217,50,482
83 days,5286,53,565
84 days,5530,56,610
85 days,6059,64,625
86 days,6175,60,593
87 days,6323,62,735
88 days,6150,75,1173
89 days,6450,93,1424
90 days,6958,101,1588
91 days,8218,83,1576
92 days,9396,69,1673
93 days,10279,62,1625
94 days,10439,76,1617
95 days,10414,86,1563
96 days,10631,90,1903
97 days,10830,91,2248
98 days,10916,97,3530
99 days,10843,97,3501
100 days,11162,95,4398
101 days,11189,96,3865
102 days,10861,99,4566
