Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,2,0,0
3 days,2,0,0
4 days,1,0,0
5 days,3,0,0
6 days,3,0,0
7 days,4,0,0
8 days,6,0,0
9 days,8,0,0
10 days,7,0,0
11 days,5,0,0
12 days,5,0,0
13 days,6,0,0
14 days,7,0,0
15 days,5,0,0
16 days,5,0,0
17 days,4,0,0
18 days,5,0,0
19 days,5,0,0
20 days,7,0,0
21 days,7,0,1
22 days,5,0,1
23 days,1,0,2
24 days,2,0,1
25 days,2,0,1
26 days,4,0,0
27 days,3,0,4
28 days,5,0,6
29 days,3,0,12
30 days,5,0,10
31 days,3,0,10
32 days,4,0,6
33 days,3,0,5
34 days,3,0,5
35 days,3,0,5
36 days,1,0,4
37 days,2,0,5
38 days,2,0,3
39 days,2,0,4
40 days,9,0,1
41 days,10,0,1
42 days,12,0,2
43 days,10,0,2
44 days,10,0,2
45 days,11,0,2
46 days,12,0,4
47 days,12,0,5
48 days,10,0,7
49 days,5,0,7
50 days,4,0,6
51 days,2,0,3
52 days,3,0,2
53 days,3,0,2
54 days,4,0,2
55 days,4,0,3
56 days,4,0,2
57 days,4,0,5
58 days,2,0,4
59 days,1,0,8
