Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,7.0,0.0,0.0
5 days,2.0,1.0,0.0
6 days,6.0,0.0,0.0
7 days,5.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,2.0,0.0,0.0
10 days,13.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,15.0,1.0,0.0
13 days,11.0,0.0,0.0
14 days,7.0,1.0,0.0
15 days,11.0,2.0,0.0
16 days,0.0,0.0,4.0
17 days,21.0,0.0,0.0
18 days,8.0,2.0,0.0
19 days,0.0,0.0,0.0
20 days,10.0,4.0,0.0
21 days,0.0,0.0,0.0
22 days,25.0,3.0,0.0
23 days,0.0,6.0,0.0
24 days,31.0,0.0,0.0
25 days,12.0,0.0,0.0
26 days,0.0,1.0,0.0
27 days,21.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,15.0,0.0,0.0
30 days,1.0,1.0,2.0
31 days,0.0,0.0,0.0
32 days,6.0,3.0,7.0
33 days,6.0,1.0,0.0
34 days,0.0,0.0,0.0
35 days,9.0,4.0,8.0
36 days,0.0,0.0,0.0
37 days,14.0,2.0,6.0
38 days,7.0,0.0,8.0
39 days,0.0,0.0,0.0
40 days,13.0,2.0,5.0
41 days,0.0,0.0,0.0
42 days,54.0,0.0,9.0
43 days,11.0,0.0,1.0
44 days,12.0,1.0,3.0
45 days,0.0,0.0,0.0
46 days,0.0,0.0,0.0
47 days,15.0,1.0,0.0
48 days,1.0,0.0,0.0
49 days,54.0,2.0,2.0
50 days,9.0,1.0,2.0
51 days,20.0,0.0,3.0
52 days,6.0,0.0,0.0
53 days,1.0,0.0,1.0
54 days,14.0,1.0,1.0
55 days,12.0,0.0,0.0
56 days,13.0,0.0,1.0
57 days,12.0,0.0,1.0
58 days,0.0,0.0,0.0
59 days,25.0,1.0,0.0
60 days,0.0,0.0,0.0
61 days,15.0,0.0,0.0
62 days,10.0,0.0,5.0
63 days,6.0,0.0,9.0
64 days,11.0,0.0,4.0
65 days,0.0,0.0,1.0
66 days,2.0,0.0,3.0
67 days,0.0,0.0,0.0
68 days,7.0,0.0,6.0
69 days,19.0,0.0,5.0
70 days,14.0,0.0,9.0
71 days,1.0,0.0,8.0
72 days,5.0,0.0,12.0
73 days,0.0,0.0,0.0
74 days,0.0,0.0,4.0
75 days,10.0,0.0,31.0
76 days,5.0,0.0,0.0
