Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,2,0,0
4 days,3,0,0
5 days,5,0,0
6 days,4,0,0
7 days,4,0,0
8 days,2,0,0
9 days,5,0,0
10 days,5,0,0
11 days,9,0,0
12 days,9,0,0
13 days,11,1,0
14 days,10,1,0
15 days,6,1,1
16 days,11,1,1
17 days,10,1,1
18 days,10,1,0
19 days,6,2,0
20 days,3,1,0
21 days,12,2,0
22 days,8,3,0
23 days,19,3,0
24 days,14,2,0
25 days,14,0,0
26 days,11,0,0
27 days,7,0,0
28 days,12,0,0
29 days,5,0,1
30 days,5,0,1
31 days,2,1,3
32 days,4,1,2
33 days,4,1,2
34 days,5,2,3
35 days,3,1,3
36 days,8,2,5
37 days,7,1,5
38 days,7,1,5
39 days,7,1,4
40 days,4,1,2
41 days,22,1,5
42 days,22,0,3
43 days,26,0,4
44 days,8,0,1
45 days,4,0,1
46 days,5,0,0
47 days,5,0,0
48 days,23,1,1
49 days,21,1,1
50 days,28,1,2
51 days,12,0,2
52 days,9,0,1
53 days,7,0,1
54 days,9,0,1
55 days,13,0,1
56 days,12,0,1
57 days,8,0,1
58 days,12,0,0
59 days,8,0,0
60 days,13,0,0
61 days,8,0,2
62 days,10,0,5
63 days,9,0,6
64 days,6,0,5
65 days,4,0,3
66 days,1,0,1
67 days,3,0,3
68 days,9,0,4
69 days,13,0,7
70 days,11,0,7
71 days,7,0,10
72 days,2,0,7
73 days,2,0,5
74 days,3,0,12
75 days,5,0,12
