Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,1,0,1
22 days,1,0,1
23 days,3,0,1
24 days,3,0,0
25 days,3,0,0
26 days,1,0,0
27 days,2,1,0
28 days,53,1,0
29 days,53,1,0
30 days,55,0,0
31 days,11,1,0
32 days,11,1,0
33 days,7,0,0
34 days,0,0,0
35 days,0,0,0
36 days,4,0,0
