Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,4.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,5.0,0.0,1.0
9 days,1.0,0.0,0.0
10 days,24.0,0.0,0.0
11 days,41.0,0.0,0.0
12 days,17.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,15.0,0.0,1.0
15 days,53.0,0.0,4.0
16 days,0.0,0.0,0.0
17 days,103.0,0.0,0.0
18 days,70.0,0.0,2.0
19 days,48.0,0.0,8.0
20 days,119.0,0.0,0.0
21 days,51.0,0.0,0.0
22 days,205.0,1.0,12.0
23 days,133.0,1.0,1.0
24 days,112.0,1.0,4.0
25 days,92.0,0.0,2.0
26 days,99.0,1.0,2.0
27 days,96.0,4.0,29.0
28 days,154.0,0.0,49.0
29 days,110.0,2.0,50.0
30 days,157.0,6.0,99.0
31 days,165.0,5.0,64.0
32 days,154.0,4.0,23.0
33 days,140.0,4.0,69.0
34 days,223.0,5.0,68.0
35 days,203.0,4.0,63.0
36 days,190.0,3.0,64.0
37 days,137.0,0.0,16.0
38 days,355.0,3.0,35.0
39 days,364.0,3.0,19.0
40 days,382.0,5.0,35.0
41 days,429.0,7.0,41.0
42 days,472.0,6.0,44.0
43 days,435.0,8.0,84.0
44 days,493.0,6.0,42.0
45 days,518.0,4.0,59.0
46 days,762.0,4.0,59.0
47 days,1132.0,5.0,280.0
48 days,1088.0,5.0,69.0
49 days,1122.0,6.0,92.0
50 days,1147.0,6.0,150.0
51 days,1141.0,5.0,172.0
52 days,1158.0,7.0,113.0
53 days,1172.0,6.0,124.0
54 days,1197.0,9.0,166.0
55 days,1223.0,3.0,142.0
56 days,1289.0,5.0,174.0
57 days,1266.0,8.0,253.0
58 days,1325.0,5.0,169.0
59 days,1351.0,5.0,210.0
60 days,1344.0,7.0,392.0
61 days,1362.0,7.0,210.0
62 days,1552.0,8.0,369.0
63 days,1645.0,7.0,342.0
64 days,1595.0,9.0,955.0
65 days,1687.0,9.0,1352.0
66 days,1793.0,10.0,1015.0
67 days,1701.0,10.0,1322.0
68 days,1704.0,10.0,1024.0
69 days,1912.0,7.0,1313.0
70 days,1966.0,9.0,1280.0
71 days,1911.0,9.0,2520.0
72 days,1905.0,9.0,2365.0
