Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,2,0,0
6 days,3,0,0
7 days,5,0,0
8 days,3,0,0
9 days,10,0,0
10 days,22,0,0
11 days,27,0,0
12 days,19,0,0
13 days,11,0,0
14 days,23,0,2
15 days,23,0,2
16 days,52,0,1
17 days,58,0,1
18 days,74,0,3
19 days,79,0,3
20 days,73,0,3
21 days,125,0,4
22 days,130,1,4
23 days,150,1,6
24 days,112,1,2
25 days,101,1,3
26 days,96,2,11
27 days,116,2,27
28 days,120,2,43
29 days,140,3,66
30 days,144,4,71
31 days,159,5,62
32 days,153,4,52
33 days,172,4,53
34 days,189,4,67
35 days,205,4,65
36 days,177,2,48
37 days,227,2,38
38 days,285,2,23
39 days,367,4,30
40 days,392,5,32
41 days,428,6,40
42 days,445,7,56
43 days,467,7,57
44 days,482,6,62
45 days,591,5,53
46 days,804,4,133
47 days,994,5,136
48 days,1114,5,147
49 days,1119,6,104
50 days,1137,6,138
51 days,1149,6,145
52 days,1157,6,136
53 days,1176,7,134
54 days,1197,6,144
55 days,1236,6,161
56 days,1259,5,190
57 days,1293,6,199
58 days,1314,6,211
59 days,1340,6,257
60 days,1352,6,271
61 days,1419,7,324
62 days,1520,7,307
63 days,1597,8,555
64 days,1642,8,883
65 days,1692,9,1107
66 days,1727,10,1230
67 days,1733,10,1120
68 days,1772,9,1220
69 days,1861,9,1206
70 days,1930,8,1704
71 days,1927,9,2055
