Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,1.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,6.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,14.0,0.0,0.0
14 days,0.0,0.0,1.0
15 days,2.0,0.0,0.0
16 days,5.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,7.0,0.0,0.0
19 days,9.0,0.0,3.0
20 days,20.0,0.0,0.0
21 days,12.0,0.0,0.0
22 days,7.0,0.0,3.0
23 days,13.0,0.0,1.0
24 days,6.0,0.0,0.0
25 days,14.0,0.0,2.0
26 days,11.0,0.0,7.0
27 days,12.0,0.0,9.0
28 days,20.0,0.0,0.0
29 days,13.0,0.0,13.0
30 days,15.0,1.0,5.0
31 days,5.0,0.0,10.0
32 days,12.0,0.0,11.0
33 days,12.0,1.0,6.0
34 days,3.0,0.0,10.0
35 days,4.0,0.0,10.0
36 days,11.0,0.0,13.0
37 days,7.0,0.0,8.0
38 days,6.0,0.0,10.0
39 days,15.0,0.0,14.0
40 days,13.0,0.0,15.0
41 days,2.0,0.0,19.0
42 days,11.0,0.0,7.0
43 days,8.0,0.0,5.0
44 days,15.0,0.0,7.0
45 days,21.0,0.0,4.0
46 days,7.0,0.0,4.0
47 days,8.0,1.0,13.0
48 days,17.0,0.0,9.0
49 days,10.0,2.0,15.0
50 days,35.0,0.0,7.0
51 days,30.0,1.0,11.0
52 days,37.0,0.0,4.0
53 days,66.0,1.0,5.0
54 days,69.0,0.0,14.0
55 days,57.0,2.0,7.0
56 days,65.0,0.0,1.0
57 days,87.0,0.0,12.0
58 days,59.0,0.0,19.0
59 days,51.0,0.0,19.0
60 days,91.0,0.0,22.0
61 days,91.0,0.0,12.0
62 days,67.0,0.0,4.0
63 days,89.0,1.0,43.0
64 days,58.0,1.0,55.0
65 days,104.0,1.0,23.0
66 days,59.0,1.0,69.0
67 days,59.0,0.0,49.0
68 days,83.0,4.0,32.0
69 days,75.0,2.0,7.0
70 days,177.0,0.0,65.0
71 days,109.0,0.0,27.0
72 days,110.0,2.0,40.0
