Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,2,0,0
11 days,2,0,0
12 days,7,0,0
13 days,5,0,0
14 days,5,0,0
15 days,2,0,0
16 days,2,0,0
17 days,4,0,0
18 days,5,0,1
19 days,12,0,1
20 days,14,0,1
21 days,13,0,1
22 days,11,0,1
23 days,9,0,1
24 days,11,0,1
25 days,10,0,3
26 days,12,0,6
27 days,14,0,5
28 days,15,0,7
29 days,16,0,6
30 days,11,0,9
31 days,11,0,9
32 days,10,0,9
33 days,9,0,9
34 days,6,0,9
35 days,6,0,11
36 days,7,0,10
37 days,8,0,10
38 days,9,0,11
39 days,11,0,13
40 days,10,0,16
41 days,9,0,14
42 days,7,0,10
43 days,11,0,6
44 days,15,0,5
45 days,14,0,5
46 days,12,0,7
47 days,11,0,9
48 days,12,1,12
49 days,21,1,10
50 days,25,1,11
51 days,34,0,7
52 days,44,1,7
53 days,57,0,8
54 days,64,1,9
55 days,64,1,7
56 days,70,1,7
57 days,70,0,11
58 days,66,0,17
59 days,67,0,20
60 days,78,0,18
61 days,83,0,13
62 days,82,0,20
63 days,71,1,34
64 days,84,1,40
65 days,74,1,49
66 days,74,1,47
67 days,67,2,50
68 days,72,2,29
69 days,112,2,35
70 days,120,1,33
71 days,132,1,44
