Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,1,0,0
4 days,4,0,0
5 days,6,0,0
6 days,10,0,0
7 days,11,0,0
8 days,10,0,0
9 days,7,0,0
10 days,6,0,0
11 days,12,0,0
12 days,16,0,0
13 days,23,0,0
14 days,29,0,0
15 days,40,0,0
16 days,38,0,0
17 days,44,0,0
18 days,54,0,0
19 days,45,0,0
20 days,51,0,0
21 days,92,3,0
22 days,119,4,0
23 days,109,5,0
24 days,80,2,0
25 days,106,5,0
26 days,129,5,0
27 days,192,8,0
28 days,188,5,0
29 days,246,7,0
30 days,241,6,0
31 days,274,6,0
32 days,253,5,0
33 days,222,3,0
34 days,219,3,0
35 days,238,3,0
36 days,254,5,0
37 days,316,5,0
38 days,362,7,0
39 days,414,6,0
40 days,421,6,0
41 days,408,5,178
42 days,374,6,212
43 days,333,6,251
44 days,313,5,112
45 days,299,4,113
46 days,275,4,91
47 days,215,5,66
48 days,198,5,39
49 days,212,6,42
50 days,255,6,38
51 days,264,6,38
52 days,239,6,36
53 days,227,6,37
54 days,245,6,45
55 days,171,4,28
56 days,213,5,45
57 days,152,5,69
58 days,183,6,77
59 days,105,4,99
60 days,109,3,140
61 days,97,3,195
62 days,89,3,243
63 days,80,4,254
64 days,61,3,191
65 days,78,3,279
66 days,70,2,289
67 days,88,2,364
