Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,0,0,0
9 days,0,0,0
10 days,1,0,0
11 days,0,0,0
12 days,1,0,0
13 days,1,0,0
14 days,1,0,0
15 days,1,0,0
16 days,2,0,0
17 days,5,0,0
18 days,6,0,0
19 days,7,0,2
20 days,6,0,2
21 days,7,0,2
22 days,9,0,0
23 days,7,0,1
24 days,11,1,1
25 days,7,1,1
26 days,10,1,0
27 days,4,1,0
28 days,7,1,1
29 days,4,0,1
30 days,10,1,4
31 days,11,1,3
32 days,17,1,3
33 days,14,0,3
34 days,14,1,5
35 days,15,1,7
