Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,3.0,0.0,0.0
8 days,3.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,6.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,2.0,0.0,0.0
16 days,3.0,0.0,2.0
17 days,7.0,0.0,0.0
18 days,5.0,0.0,0.0
19 days,2.0,0.0,7.0
20 days,3.0,0.0,6.0
21 days,8.0,0.0,0.0
22 days,9.0,0.0,2.0
23 days,5.0,0.0,1.0
24 days,3.0,0.0,0.0
25 days,2.0,0.0,6.0
26 days,4.0,0.0,5.0
27 days,3.0,0.0,5.0
28 days,0.0,0.0,0.0
29 days,1.0,0.0,3.0
30 days,0.0,0.0,0.0
31 days,4.0,0.0,14.0
32 days,0.0,0.0,0.0
33 days,2.0,0.0,2.0
34 days,2.0,0.0,9.0
35 days,0.0,0.0,0.0
36 days,0.0,0.0,0.0
37 days,9.0,0.0,10.0
38 days,4.0,0.0,0.0
39 days,2.0,0.0,6.0
40 days,2.0,0.0,0.0
41 days,0.0,0.0,0.0
42 days,7.0,0.0,0.0
43 days,13.0,0.0,0.0
44 days,8.0,0.0,0.0
45 days,12.0,0.0,0.0
46 days,0.0,0.0,0.0
47 days,10.0,0.0,0.0
48 days,18.0,0.0,18.0
49 days,0.0,0.0,0.0
50 days,22.0,0.0,1.0
51 days,12.0,0.0,8.0
52 days,14.0,0.0,0.0
53 days,17.0,0.0,4.0
54 days,23.0,0.0,5.0
55 days,47.0,0.0,0.0
56 days,32.0,0.0,0.0
57 days,40.0,0.0,10.0
58 days,47.0,2.0,16.0
59 days,23.0,0.0,4.0
60 days,54.0,0.0,0.0
61 days,49.0,0.0,12.0
62 days,73.0,0.0,4.0
63 days,52.0,0.0,12.0
64 days,49.0,0.0,11.0
65 days,70.0,0.0,15.0
66 days,42.0,1.0,14.0
67 days,35.0,0.0,16.0
68 days,47.0,0.0,12.0
69 days,74.0,0.0,5.0
70 days,49.0,1.0,21.0
71 days,65.0,1.0,16.0
72 days,75.0,1.0,15.0
73 days,120.0,0.0,23.0
74 days,66.0,0.0,24.0
75 days,106.0,0.0,33.0
76 days,142.0,0.0,29.0
77 days,287.0,0.0,54.0
78 days,198.0,1.0,32.0
79 days,191.0,1.0,36.0
80 days,233.0,0.0,32.0
81 days,386.0,1.0,26.0
82 days,334.0,1.0,25.0
83 days,447.0,0.0,41.0
84 days,728.0,0.0,31.0
85 days,623.0,1.0,25.0
86 days,942.0,0.0,32.0
87 days,596.0,0.0,28.0
88 days,1426.0,0.0,33.0
89 days,1111.0,0.0,38.0
90 days,1016.0,1.0,57.0
