Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,2,0,0
8 days,2,0,0
9 days,3,0,0
10 days,3,0,0
11 days,2,0,0
12 days,3,0,0
13 days,3,0,0
14 days,3,0,0
15 days,2,0,0
16 days,2,0,1
17 days,4,0,1
18 days,5,0,1
19 days,5,0,2
20 days,3,0,4
21 days,4,0,4
22 days,7,0,3
23 days,7,0,1
24 days,6,0,1
25 days,3,0,2
26 days,3,0,4
27 days,3,0,5
28 days,2,0,3
29 days,1,0,3
30 days,0,0,1
31 days,2,0,6
32 days,1,0,5
33 days,2,0,5
34 days,1,0,4
35 days,1,0,4
36 days,1,0,3
37 days,3,0,3
38 days,4,0,3
39 days,5,0,5
40 days,3,0,2
41 days,1,0,2
42 days,3,0,0
43 days,7,0,0
44 days,9,0,0
45 days,11,0,0
46 days,7,0,0
47 days,7,0,0
48 days,9,0,6
49 days,9,0,6
50 days,13,0,6
51 days,11,0,3
52 days,16,0,3
53 days,14,0,4
54 days,18,0,3
55 days,29,0,3
56 days,34,0,2
57 days,40,0,3
58 days,40,1,9
59 days,37,1,10
60 days,41,1,7
61 days,42,0,5
62 days,59,0,5
63 days,58,0,9
64 days,58,0,9
65 days,57,0,13
66 days,54,0,13
67 days,49,0,15
68 days,41,0,14
69 days,52,0,11
70 days,57,0,13
71 days,63,1,14
72 days,63,1,17
73 days,87,1,18
74 days,87,0,21
75 days,97,0,27
76 days,105,0,29
77 days,178,0,39
78 days,209,0,38
79 days,225,1,41
80 days,207,1,33
81 days,270,1,31
82 days,318,1,28
83 days,389,1,31
84 days,503,0,32
85 days,599,0,32
86 days,764,0,29
87 days,720,0,28
88 days,988,0,31
89 days,1044,0,33
90 days,1184,0,43
91 days,1055,0,41
92 days,983,0,39
93 days,851,0,35
94 days,815,0,45
95 days,783,1,46
96 days,753,1,42
97 days,672,1,43
98 days,582,0,50
99 days,717,1,47
100 days,636,1,53
101 days,679,1,55
102 days,559,1,63
103 days,621,0,57
