Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,4.0,0.0,0.0
5 days,3.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,16.0,0.0,0.0
8 days,12.0,0.0,0.0
9 days,10.0,0.0,0.0
10 days,9.0,0.0,0.0
11 days,9.0,0.0,0.0
12 days,33.0,0.0,0.0
13 days,18.0,0.0,0.0
14 days,14.0,0.0,0.0
15 days,41.0,0.0,0.0
16 days,7.0,0.0,2.0
17 days,1.0,0.0,0.0
18 days,18.0,0.0,0.0
19 days,12.0,0.0,0.0
20 days,10.0,0.0,0.0
21 days,43.0,0.0,0.0
22 days,23.0,0.0,0.0
23 days,22.0,0.0,0.0
24 days,22.0,0.0,1.0
25 days,27.0,0.0,0.0
26 days,37.0,1.0,0.0
27 days,26.0,0.0,2.0
28 days,24.0,0.0,3.0
29 days,21.0,0.0,0.0
30 days,14.0,0.0,0.0
31 days,49.0,1.0,0.0
32 days,47.0,0.0,5.0
33 days,101.0,0.0,3.0
34 days,19.0,0.0,7.0
35 days,14.0,0.0,0.0
36 days,13.0,0.0,0.0
37 days,14.0,0.0,0.0
38 days,27.0,0.0,84.0
39 days,66.0,0.0,6.0
40 days,28.0,4.0,38.0
41 days,114.0,2.0,16.0
42 days,72.0,1.0,8.0
43 days,40.0,2.0,38.0
44 days,72.0,1.0,16.0
45 days,12.0,1.0,22.0
46 days,26.0,1.0,7.0
47 days,45.0,0.0,26.0
