Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,4,0,0
7 days,8,0,0
8 days,11,0,0
9 days,13,0,0
10 days,10,0,0
11 days,9,0,0
12 days,17,0,0
13 days,20,0,0
14 days,22,0,0
15 days,24,0,0
16 days,21,0,1
17 days,16,0,1
18 days,9,0,1
19 days,10,0,0
20 days,13,0,0
21 days,22,0,0
22 days,25,0,0
23 days,29,0,0
24 days,22,0,0
25 days,24,0,0
26 days,29,0,0
27 days,30,0,1
28 days,29,0,2
29 days,24,0,2
30 days,20,0,1
31 days,28,0,0
32 days,37,0,2
33 days,66,0,3
34 days,56,0,5
35 days,45,0,3
36 days,15,0,2
37 days,14,0,0
38 days,18,0,28
39 days,36,0,30
40 days,40,1,43
41 days,69,2,20
42 days,71,2,21
43 days,75,2,21
44 days,61,1,21
45 days,41,1,25
46 days,37,1,15
47 days,28,1,18
