Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,5,0,0
3 days,3,0,0
4 days,8,0,0
5 days,14,0,0
6 days,24,0,0
7 days,37,0,0
8 days,41,0,0
9 days,43,0,0
10 days,37,0,0
11 days,31,0,0
12 days,19,0,0
13 days,11,0,0
14 days,22,0,0
15 days,36,0,0
16 days,43,0,0
17 days,34,1,0
18 days,32,1,0
19 days,38,1,3
20 days,40,1,3
21 days,51,2,3
22 days,52,1,0
23 days,56,2,0
24 days,41,1,0
25 days,39,2,0
26 days,37,1,0
27 days,47,2,20
28 days,44,2,20
29 days,45,2,23
30 days,33,4,3
31 days,29,3,11
32 days,27,5,8
33 days,31,4,14
34 days,34,4,9
35 days,34,3,12
36 days,32,3,9
37 days,27,3,7
38 days,17,3,5
39 days,11,2,1
40 days,14,3,5
41 days,19,2,7
42 days,28,3,7
43 days,23,3,8
44 days,21,4,6
45 days,10,4,6
46 days,9,2,2
47 days,8,2,4
48 days,10,1,6
49 days,10,1,5
50 days,12,1,5
51 days,10,1,3
52 days,10,1,3
53 days,7,2,1
54 days,7,2,3
55 days,9,3,4
56 days,9,2,3
57 days,7,2,3
58 days,3,2,3
59 days,2,2,3
60 days,2,1,2
61 days,3,1,2
62 days,3,1,2
63 days,2,1,3
64 days,2,1,3
65 days,3,1,3
66 days,3,1,1
67 days,2,0,1
68 days,2,0,1
