Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,2.0,0.0,1.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,2.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,1.0,0.0,0.0
23 days,4.0,1.0,0.0
24 days,0.0,0.0,0.0
25 days,9.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,4.0,0.0,1.0
28 days,35.0,1.0,0.0
29 days,0.0,0.0,0.0
30 days,20.0,3.0,0.0
31 days,0.0,0.0,0.0
32 days,36.0,1.0,0.0
33 days,19.0,1.0,0.0
34 days,29.0,0.0,1.0
35 days,73.0,1.0,1.0
36 days,49.0,0.0,0.0
37 days,0.0,0.0,0.0
38 days,42.0,8.0,4.0
39 days,0.0,0.0,0.0
40 days,62.0,2.0,0.0
41 days,46.0,5.0,2.0
42 days,44.0,3.0,0.0
43 days,48.0,2.0,9.0
44 days,54.0,0.0,1.0
45 days,19.0,0.0,11.0
46 days,0.0,0.0,0.0
47 days,70.0,3.0,3.0
48 days,51.0,1.0,10.0
49 days,34.0,3.0,17.0
50 days,79.0,3.0,14.0
51 days,38.0,1.0,12.0
52 days,55.0,5.0,19.0
53 days,0.0,0.0,0.0
54 days,69.0,4.0,4.0
55 days,57.0,3.0,8.0
56 days,35.0,1.0,3.0
57 days,81.0,0.0,5.0
58 days,49.0,0.0,4.0
