Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,1,0,0
12 days,1,0,0
13 days,0,0,0
14 days,0,0,0
15 days,1,0,0
16 days,1,0,0
17 days,1,0,0
18 days,1,0,0
19 days,1,0,0
20 days,1,0,0
21 days,0,0,0
22 days,0,0,0
23 days,2,0,0
24 days,2,0,0
25 days,4,0,0
26 days,3,0,0
27 days,4,0,0
28 days,13,0,0
29 days,13,0,0
30 days,18,1,0
31 days,7,1,0
32 days,19,1,0
33 days,18,1,0
34 days,28,1,0
35 days,40,1,1
36 days,50,0,1
37 days,41,0,0
